KJ_test	// User ID
25-3-2025	// Evaluation date
ianjump_AHAP_CMJ1	24-3-2025	14:51:32:131	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
25	886.357191	0.104907	0.102961	-0.466498	0.080972	0.103781	-0.133502	0.154235	0.552576	-0.425286	0.130568	0.547986	-0.177480	0.146838	0.987056	-0.436847	0.152829	0.983567	-0.201858	1.910000	89.660313	
26	888.193774	0.104742	0.103593	-0.466914	0.080347	0.102765	-0.134062	0.154679	0.553117	-0.425514	0.130707	0.546736	-0.179468	0.146925	0.987594	-0.436939	0.153415	0.982393	-0.201993	1.910000	89.660313	
27	889.365186	0.105246	0.104196	-0.466931	0.080115	0.101988	-0.134404	0.155055	0.553750	-0.425692	0.130501	0.545727	-0.181897	0.146910	0.988238	-0.436419	0.153584	0.981505	-0.201511	1.910000	89.660313	
28	888.128943	0.106008	0.104629	-0.466600	0.080268	0.101704	-0.134424	0.155362	0.554262	-0.425660	0.130211	0.545311	-0.183608	0.147108	0.988780	-0.434993	0.153519	0.981207	-0.200103	1.910000	89.660313	
29	890.407896	0.106332	0.104671	-0.466181	0.080611	0.102130	-0.134079	0.155382	0.554374	-0.425727	0.130244	0.545775	-0.183311	0.147662	0.988949	-0.432505	0.153376	0.981759	-0.197594	1.910000	89.660313	
30	890.258155	0.106064	0.104229	-0.465856	0.080983	0.103030	-0.133431	0.154987	0.554022	-0.426307	0.130758	0.546804	-0.181345	0.148489	0.988657	-0.429689	0.153272	0.982848	-0.194722	1.910000	89.660313	
31	889.515979	0.105715	0.103371	-0.465683	0.081250	0.103621	-0.132651	0.154171	0.553375	-0.427900	0.131611	0.547382	-0.180038	0.149231	0.988043	-0.428351	0.153279	0.983472	-0.193335	1.910000	89.660313	
32	889.733029	0.105685	0.102301	-0.465672	0.081353	0.103451	-0.131941	0.153096	0.552632	-0.430506	0.132653	0.546933	-0.180895	0.149639	0.987313	-0.429525	0.153439	0.983056	-0.194495	1.910000	89.660313	
33	891.767774	0.105837	0.101645	-0.465829	0.081469	0.103361	-0.131520	0.152481	0.552189	-0.432454	0.133778	0.546532	-0.182200	0.149911	0.986876	-0.431322	0.153700	0.982680	-0.196294	1.910000	89.660313	
34	889.351901	0.105923	0.102011	-0.466172	0.081790	0.104316	-0.131560	0.153082	0.552434	-0.431902	0.134878	0.547447	-0.181790	0.150305	0.987122	-0.431447	0.154000	0.983614	-0.196407	1.910000	89.660313	
35	890.502173	0.105854	0.103051	-0.466517	0.082161	0.105726	-0.131889	0.154638	0.553074	-0.429351	0.135660	0.549024	-0.180182	0.150628	0.987750	-0.430280	0.154411	0.985192	-0.195226	1.910000	89.660313	
36	890.175727	0.105639	0.103780	-0.466590	0.082213	0.105984	-0.132158	0.156228	0.553373	-0.426788	0.135704	0.549374	-0.179570	0.150405	0.988019	-0.429930	0.155086	0.985505	-0.194898	1.910000	89.660313	
37	888.883999	0.105322	0.103722	-0.466377	0.081841	0.104500	-0.132223	0.157271	0.553052	-0.425449	0.134993	0.547784	-0.180949	0.149595	0.987640	-0.431413	0.155964	0.983835	-0.196447	1.910000	89.660313	
38	888.201358	0.105023	0.103393	-0.466215	0.081408	0.102563	-0.132250	0.157790	0.552629	-0.425219	0.134220	0.545649	-0.183146	0.148939	0.987151	-0.433764	0.156599	0.981622	-0.198860	1.910000	89.660313	
39	889.666255	0.104864	0.103318	-0.466391	0.081278	0.101457	-0.132404	0.157863	0.552576	-0.425824	0.134004	0.544383	-0.184827	0.149019	0.987066	-0.435880	0.156538	0.980332	-0.200995	1.910000	89.660313	
40	887.022954	0.104905	0.103440	-0.466716	0.081540	0.101495	-0.132572	0.157476	0.552821	-0.426986	0.134203	0.544395	-0.185266	0.149104	0.987321	-0.437042	0.155505	0.980379	-0.202132	1.910000	89.660313	
41	886.009764	0.105189	0.103516	-0.466831	0.082185	0.102657	-0.132543	0.156606	0.553127	-0.428395	0.134441	0.545735	-0.184030	0.148089	0.987661	-0.436694	0.153320	0.981797	-0.201736	1.910000	89.660313	
42	887.468046	0.105667	0.103507	-0.466681	0.083004	0.104446	-0.132326	0.155478	0.553417	-0.429704	0.134612	0.547837	-0.181701	0.146045	0.987977	-0.435168	0.150625	0.983983	-0.200158	1.910000	89.660313	
43	886.825655	0.106196	0.103561	-0.466536	0.083606	0.105894	-0.132140	0.154540	0.553732	-0.430619	0.134848	0.549532	-0.179759	0.144161	0.988294	-0.433625	0.148843	0.985731	-0.198590	1.910000	89.660313	
44	886.692641	0.106623	0.103744	-0.466614	0.083732	0.106300	-0.132135	0.154161	0.554030	-0.430952	0.135199	0.549972	-0.179259	0.143387	0.988588	-0.432927	0.148952	0.986187	-0.197907	1.910000	89.660313	
45	884.332154	0.106780	0.103915	-0.466867	0.083509	0.105760	-0.132274	0.154484	0.554130	-0.430645	0.135495	0.549285	-0.180141	0.143928	0.988692	-0.433041	0.150682	0.985483	-0.198064	1.910000	89.660313	
46	883.371287	0.106544	0.103922	-0.467166	0.083134	0.104554	-0.132476	0.155543	0.553886	-0.429713	0.135567	0.547821	-0.182103	0.145756	0.988453	-0.433780	0.153502	0.983961	-0.198858	1.910000	89.660313	
47	881.540891	0.106162	0.103779	-0.467367	0.082890	0.103312	-0.132567	0.156767	0.553471	-0.428774	0.135560	0.546298	-0.184424	0.147937	0.988035	-0.434894	0.156399	0.982351	-0.200022	1.910000	89.660313	
48	881.437077	0.106046	0.103568	-0.467372	0.083096	0.102819	-0.132331	0.157291	0.553196	-0.428765	0.135775	0.545570	-0.186228	0.149099	0.987754	-0.436093	0.158137	0.981569	-0.201252	1.910000	89.660313	
49	879.314199	0.106318	0.103382	-0.467171	0.083778	0.103394	-0.131811	0.156877	0.553196	-0.429831	0.136313	0.546007	-0.186980	0.148751	0.987758	-0.436971	0.158224	0.982023	-0.202134	1.910000	89.660313	
50	877.788862	0.106695	0.103337	-0.466864	0.084556	0.104721	-0.131407	0.156165	0.553387	-0.430991	0.136980	0.547346	-0.186546	0.147622	0.987959	-0.436959	0.157197	0.983430	-0.202103	1.910000	89.660313	
51	877.897750	0.106922	0.103508	-0.466579	0.085099	0.106396	-0.131423	0.155730	0.553681	-0.431414	0.137550	0.549216	-0.184933	0.146454	0.988258	-0.435722	0.155654	0.985381	-0.200829	1.910000	89.660313	
52	876.546860	0.106995	0.103823	-0.466423	0.085365	0.107839	-0.131680	0.155645	0.554011	-0.431186	0.137791	0.550953	-0.182733	0.145693	0.988584	-0.433923	0.154142	0.987174	-0.198986	1.910000	89.660313	
53	875.887434	0.106973	0.104189	-0.466470	0.085385	0.108456	-0.131881	0.155861	0.554306	-0.430607	0.137517	0.551858	-0.180694	0.145702	0.988880	-0.432421	0.153180	0.988086	-0.197444	1.910000	89.660313	
54	876.374344	0.106910	0.104562	-0.466658	0.085199	0.108276	-0.132027	0.156353	0.554541	-0.429834	0.137112	0.551889	-0.179129	0.146759	0.989130	-0.431295	0.153112	0.988089	-0.196287	1.910000	89.660313	
55	875.327095	0.106863	0.104939	-0.466827	0.084861	0.107798	-0.132352	0.157118	0.554734	-0.428925	0.137375	0.551492	-0.178002	0.149081	0.989354	-0.430053	0.154151	0.987668	-0.195018	1.910000	89.660313	
56	874.773305	0.106881	0.105318	-0.466890	0.084372	0.107321	-0.132929	0.158148	0.554918	-0.428074	0.138599	0.550917	-0.177499	0.152405	0.989576	-0.428716	0.156201	0.987092	-0.193664	1.910000	89.660313	
57	875.970304	0.107008	0.105698	-0.466911	0.083626	0.106688	-0.133501	0.159427	0.555137	-0.427727	0.140036	0.549990	-0.178304	0.155506	0.989815	-0.428374	0.158562	0.986168	-0.193327	1.910000	89.660313	
58	876.609198	0.107262	0.106040	-0.466940	0.082589	0.105771	-0.133824	0.160874	0.555383	-0.428274	0.140927	0.548595	-0.180855	0.157216	0.990061	-0.429957	0.160518	0.984758	-0.194948	1.910000	89.660313	
59	877.092735	0.107482	0.106082	-0.466917	0.081719	0.104948	-0.133859	0.161961	0.555440	-0.429656	0.141203	0.547315	-0.183677	0.157469	0.990103	-0.432585	0.161753	0.983438	-0.197624	1.910000	89.660313	
60	878.058764	0.107450	0.105498	-0.466778	0.081642	0.104738	-0.133639	0.162021	0.555014	-0.431606	0.141065	0.546970	-0.184651	0.156617	0.989665	-0.434722	0.162114	0.983030	-0.199786	1.910000	89.660313	
61	876.996045	0.107193	0.104424	-0.466613	0.082402	0.105100	-0.133233	0.161062	0.554176	-0.433407	0.140621	0.547573	-0.183522	0.154993	0.988823	-0.435878	0.161724	0.983545	-0.200942	1.910000	89.660313	
62	877.121025	0.107005	0.103485	-0.466656	0.083431	0.105427	-0.132751	0.159815	0.553392	-0.433904	0.139877	0.548251	-0.182016	0.152903	0.988025	-0.436686	0.161009	0.984123	-0.201762	1.910000	89.660313	
63	881.471565	0.107069	0.103116	-0.467004	0.084224	0.105302	-0.132336	0.158896	0.553014	-0.432640	0.138994	0.548351	-0.181534	0.150849	0.987609	-0.437547	0.160392	0.984144	-0.202669	1.910000	89.660313	
64	882.462643	0.107198	0.103112	-0.467288	0.084583	0.105011	-0.132243	0.158461	0.552953	-0.431306	0.138624	0.548063	-0.182177	0.149943	0.987515	-0.437992	0.160258	0.983853	-0.203151	1.910000	89.660313	
65	881.818597	0.107149	0.103137	-0.467103	0.084406	0.104941	-0.132724	0.158559	0.553005	-0.431799	0.139410	0.547743	-0.183713	0.151231	0.987603	-0.437472	0.160930	0.983633	-0.202615	1.910000	89.660313	
66	884.850597	0.106870	0.103070	-0.466655	0.083911	0.105164	-0.133528	0.159053	0.553037	-0.433906	0.140972	0.547644	-0.185076	0.153970	0.987697	-0.436332	0.162207	0.983651	-0.201420	1.910000	89.660313	
67	884.799884	0.106427	0.102894	-0.466440	0.083491	0.105568	-0.134064	0.159714	0.552921	-0.436071	0.142347	0.547918	-0.184738	0.156400	0.987604	-0.435427	0.163587	0.983948	-0.200469	1.910000	89.660313	
68	883.495908	0.106012	0.102706	-0.466588	0.083383	0.106030	-0.133997	0.160275	0.552683	-0.437033	0.142928	0.548529	-0.182466	0.157353	0.987366	-0.435281	0.164585	0.984457	-0.200312	1.910000	89.660313	
69	885.904429	0.106013	0.102834	-0.466780	0.083601	0.106411	-0.133497	0.160383	0.552715	-0.436262	0.142677	0.549182	-0.180072	0.156604	0.987395	-0.435890	0.164754	0.984954	-0.200949	1.910000	89.660313	
70	885.517645	0.106697	0.103535	-0.466819	0.084099	0.106597	-0.132801	0.159829	0.553355	-0.433695	0.141718	0.549592	-0.179156	0.154271	0.988003	-0.437060	0.163821	0.985254	-0.202179	1.910000	89.660313	
71	889.344382	0.107709	0.104490	-0.466830	0.084627	0.106687	-0.132146	0.159098	0.554307	-0.430857	0.140693	0.549773	-0.179491	0.151673	0.988882	-0.437925	0.162325	0.985428	-0.203098	1.910000	89.660313	
72	887.679846	0.108536	0.105171	-0.466860	0.084893	0.106828	-0.131760	0.158862	0.555015	-0.429558	0.140361	0.549844	-0.180340	0.150405	0.989557	-0.437496	0.161030	0.985613	-0.202674	1.910000	89.660313	
73	890.159046	0.108882	0.105295	-0.466898	0.084871	0.107005	-0.131703	0.159250	0.555172	-0.430104	0.140841	0.549838	-0.181352	0.150809	0.989746	-0.436032	0.160457	0.985777	-0.201169	1.910000	89.660313	
74	889.397122	0.108610	0.104839	-0.467014	0.084762	0.107086	-0.131883	0.159919	0.554721	-0.431616	0.141716	0.549694	-0.182498	0.152172	0.989336	-0.434838	0.160921	0.985753	-0.199933	1.910000	89.660313	
75	887.384644	0.107805	0.103964	-0.467210	0.084711	0.107077	-0.132166	0.160558	0.553788	-0.433228	0.142627	0.549471	-0.183584	0.153763	0.988429	-0.434628	0.162316	0.985559	-0.199705	1.910000	89.660313	
76	889.941568	0.107039	0.103217	-0.467349	0.084728	0.107315	-0.132374	0.160963	0.552961	-0.434155	0.143398	0.549577	-0.184025	0.154892	0.987615	-0.434655	0.163563	0.985659	-0.199728	1.910000	89.660313	
77	889.379374	0.106865	0.103109	-0.467318	0.084812	0.108082	-0.132370	0.160985	0.552804	-0.433781	0.143901	0.550366	-0.183338	0.154984	0.987459	-0.434088	0.163632	0.986463	-0.199155	1.910000	89.660313	
78	888.749624	0.107200	0.103507	-0.467203	0.084992	0.108964	-0.132228	0.160772	0.553186	-0.432594	0.144131	0.551383	-0.181962	0.154273	0.987834	-0.432958	0.162827	0.987517	-0.198019	1.910000	89.660313	
79	889.464589	0.107680	0.103999	-0.467171	0.085308	0.109251	-0.132096	0.160602	0.553675	-0.431551	0.144144	0.551830	-0.180761	0.153348	0.988311	-0.431678	0.162029	0.988001	-0.196744	1.910000	89.660313	
80	888.705890	0.108036	0.104400	-0.467241	0.085694	0.108773	-0.131995	0.160650	0.554062	-0.430996	0.144013	0.551481	-0.180104	0.152678	0.988685	-0.430613	0.161657	0.987676	-0.195693	1.910000	89.660313	
81	887.261473	0.108115	0.104807	-0.467238	0.085960	0.108028	-0.131806	0.160973	0.554403	-0.430518	0.143818	0.550819	-0.179704	0.152592	0.989018	-0.430072	0.161567	0.987014	-0.195156	1.910000	89.660313	
82	888.369668	0.107857	0.105240	-0.467031	0.085964	0.107410	-0.131450	0.161570	0.554696	-0.429820	0.143659	0.550218	-0.179379	0.153190	0.989312	-0.430318	0.161621	0.986385	-0.195392	1.910000	89.660313	
83	887.975567	0.107499	0.105370	-0.466673	0.085771	0.106809	-0.131025	0.162272	0.554676	-0.429206	0.143687	0.549531	-0.179488	0.153813	0.989284	-0.431484	0.161822	0.985651	-0.196553	1.910000	89.660313	
84	886.218932	0.107316	0.104825	-0.466266	0.085492	0.106031	-0.130671	0.162869	0.554055	-0.429092	0.144041	0.548522	-0.180466	0.153704	0.988632	-0.433624	0.162190	0.984593	-0.198719	1.910000	89.660313	
85	886.642057	0.107311	0.103694	-0.465994	0.085235	0.105146	-0.130547	0.163093	0.552973	-0.429750	0.144481	0.547326	-0.182242	0.152924	0.987502	-0.436248	0.162585	0.983361	-0.201390	1.910000	89.660313	
86	887.656273	0.107302	0.102375	-0.466089	0.085108	0.104388	-0.130821	0.162641	0.551831	-0.431364	0.144530	0.546318	-0.184414	0.152064	0.986340	-0.438511	0.162763	0.982341	-0.203692	1.910000	89.660313	
87	886.450307	0.107227	0.101281	-0.466614	0.085116	0.103919	-0.131470	0.161590	0.550991	-0.433692	0.143984	0.545748	-0.186483	0.151523	0.985527	-0.439895	0.162666	0.981781	-0.205093	1.910000	89.660313	
88	887.388917	0.107235	0.100838	-0.467363	0.085088	0.103779	-0.132137	0.160699	0.550746	-0.435693	0.143137	0.545637	-0.187792	0.151331	0.985315	-0.440484	0.162572	0.981667	-0.205686	1.910000	89.660313	
89	887.626507	0.107452	0.101340	-0.468115	0.084886	0.104006	-0.132504	0.160615	0.551281	-0.436383	0.142351	0.545992	-0.187759	0.151438	0.985862	-0.440375	0.162722	0.981982	-0.205582	1.910000	89.660313	
90	884.333800	0.107813	0.102428	-0.468557	0.084631	0.104723	-0.132575	0.160968	0.552292	-0.435741	0.142099	0.546886	-0.186389	0.151559	0.986871	-0.439394	0.162955	0.982837	-0.204609	1.910000	89.660313	
91	884.957238	0.108184	0.103541	-0.468362	0.084524	0.106070	-0.132452	0.161074	0.553325	-0.434086	0.142861	0.548395	-0.183923	0.151357	0.987901	-0.437314	0.162992	0.984364	-0.202536	1.910000	89.660313	
92	883.868150	0.108441	0.104414	-0.467693	0.084627	0.107772	-0.132242	0.160854	0.554145	-0.432016	0.144406	0.550198	-0.181113	0.151002	0.988722	-0.434589	0.162971	0.986233	-0.199816	1.910000	89.660313	
93	883.423347	0.108470	0.105069	-0.467180	0.084864	0.109128	-0.132048	0.160804	0.554722	-0.430406	0.145827	0.551584	-0.179190	0.151152	0.989307	-0.432329	0.163423	0.987673	-0.197559	1.910000	89.660313	
94	884.715264	0.108212	0.105551	-0.467284	0.085160	0.109616	-0.131950	0.161298	0.555059	-0.429790	0.146503	0.552036	-0.178937	0.152224	0.989658	-0.431378	0.164593	0.988133	-0.196608	1.910000	89.660313	
