KJ_test	// User ID
25-3-2025	// Evaluation date
Kathryn_AFAP_CMJ1	24-3-2025	15:02:56:427	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
25	567.233143	0.103835	0.089777	-0.437443	0.109003	0.093686	-0.137313	0.154434	0.484019	-0.415763	0.162135	0.477958	-0.183512	0.174236	0.883458	-0.415148	0.185317	0.884294	-0.221681	1.660000	58.340150	
26	567.954455	0.103542	0.089165	-0.437528	0.109136	0.093494	-0.137165	0.153971	0.483534	-0.417755	0.162178	0.477683	-0.184150	0.173715	0.882969	-0.415278	0.185413	0.884060	-0.221848	1.660000	58.340150	
27	567.460721	0.103428	0.089203	-0.437801	0.109103	0.093561	-0.137240	0.153769	0.483599	-0.418278	0.162067	0.477724	-0.184529	0.173158	0.883047	-0.415194	0.185400	0.884136	-0.221795	1.660000	58.340150	
28	569.631037	0.103556	0.089832	-0.438073	0.109044	0.093888	-0.137350	0.153754	0.484200	-0.417664	0.161892	0.478077	-0.184560	0.172780	0.883668	-0.414911	0.185192	0.884518	-0.221522	1.660000	58.340150	
29	570.198268	0.103932	0.090785	-0.438030	0.109215	0.094391	-0.137181	0.153697	0.485172	-0.416983	0.161855	0.478626	-0.184244	0.172838	0.884636	-0.414537	0.184692	0.885102	-0.221116	1.660000	58.340150	
30	570.707809	0.104415	0.091745	-0.437583	0.109623	0.094895	-0.136725	0.153545	0.486218	-0.416650	0.161979	0.479170	-0.183776	0.173258	0.885654	-0.414174	0.184014	0.885686	-0.220690	1.660000	58.340150	
31	570.171022	0.104691	0.092348	-0.436920	0.109975	0.095111	-0.136356	0.153464	0.486882	-0.416296	0.162081	0.479394	-0.183620	0.173562	0.886300	-0.413918	0.183524	0.885955	-0.220387	1.660000	58.340150	
32	569.600977	0.104557	0.092368	-0.436271	0.110047	0.094840	-0.136359	0.153557	0.486873	-0.415608	0.162025	0.479076	-0.184141	0.173377	0.886308	-0.413864	0.183465	0.885688	-0.220339	1.660000	58.340150	
33	570.178674	0.104252	0.092093	-0.435937	0.109942	0.094232	-0.136615	0.153672	0.486512	-0.414652	0.161894	0.478368	-0.185222	0.172776	0.885985	-0.414107	0.183596	0.885037	-0.220624	1.660000	58.340150	
34	571.935336	0.104085	0.091892	-0.436196	0.109820	0.093514	-0.136919	0.153623	0.486221	-0.413591	0.161808	0.477506	-0.186624	0.171946	0.885730	-0.414722	0.183601	0.884233	-0.221291	1.660000	58.340150	
35	568.484426	0.104073	0.091756	-0.436870	0.109693	0.092932	-0.137184	0.153470	0.486019	-0.412836	0.161748	0.476806	-0.187735	0.171312	0.885542	-0.415531	0.183499	0.883558	-0.222136	1.660000	58.340150	
36	570.986596	0.104044	0.091419	-0.437502	0.109481	0.092742	-0.137393	0.153430	0.485652	-0.412956	0.161600	0.476635	-0.187705	0.171445	0.885163	-0.416201	0.183531	0.883318	-0.222801	1.660000	58.340150	
37	571.168180	0.103943	0.090837	-0.437814	0.109184	0.092990	-0.137572	0.153623	0.485076	-0.413992	0.161333	0.477077	-0.186332	0.172369	0.884559	-0.416533	0.183765	0.883585	-0.223088	1.660000	58.340150	
38	571.685191	0.103936	0.090367	-0.437836	0.108954	0.093350	-0.137819	0.153989	0.484621	-0.415037	0.161057	0.477696	-0.184567	0.173140	0.884089	-0.416581	0.183958	0.884014	-0.223097	1.660000	58.340150	
39	571.026365	0.104154	0.090320	-0.437645	0.108926	0.093511	-0.138193	0.154436	0.484571	-0.415292	0.160872	0.478072	-0.183344	0.172955	0.884071	-0.416421	0.183891	0.884281	-0.222941	1.660000	58.340150	
40	569.295722	0.104432	0.090576	-0.437410	0.109078	0.093525	-0.138487	0.154808	0.484810	-0.414980	0.160764	0.478218	-0.182799	0.172307	0.884356	-0.416100	0.183627	0.884411	-0.222643	1.660000	58.340150	
41	569.820585	0.104516	0.090877	-0.437321	0.109334	0.093566	-0.138425	0.154946	0.485088	-0.414601	0.160683	0.478295	-0.182791	0.172089	0.884649	-0.415662	0.183321	0.884543	-0.222201	1.660000	58.340150	
42	570.972628	0.104371	0.091052	-0.437422	0.109607	0.093682	-0.138042	0.154835	0.485245	-0.414467	0.160700	0.478367	-0.183073	0.172512	0.884784	-0.415225	0.183100	0.884702	-0.221729	1.660000	58.340150	
43	569.170533	0.104167	0.091012	-0.437626	0.109797	0.093802	-0.137666	0.154595	0.485214	-0.414740	0.160998	0.478405	-0.183290	0.173135	0.884714	-0.414981	0.183061	0.884805	-0.221448	1.660000	58.340150	
44	568.741794	0.104049	0.090762	-0.437836	0.109836	0.093845	-0.137502	0.154341	0.485004	-0.415350	0.161610	0.478359	-0.183229	0.173572	0.884471	-0.415034	0.183253	0.884772	-0.221486	1.660000	58.340150	
45	570.883339	0.104085	0.090541	-0.437938	0.109742	0.093718	-0.137425	0.154157	0.484824	-0.415682	0.162168	0.478156	-0.183052	0.173652	0.884279	-0.415257	0.183599	0.884541	-0.221724	1.660000	58.340150	
46	569.557285	0.104312	0.090583	-0.437835	0.109551	0.093357	-0.137281	0.154106	0.484876	-0.415161	0.162286	0.477747	-0.182957	0.173285	0.884346	-0.415486	0.184007	0.884081	-0.221998	1.660000	58.340150	
47	569.548971	0.104609	0.090742	-0.437608	0.109329	0.092969	-0.137079	0.154098	0.485030	-0.414176	0.161991	0.477349	-0.182919	0.172816	0.884519	-0.415576	0.184393	0.883629	-0.222138	1.660000	58.340150	
48	570.560470	0.104785	0.090684	-0.437417	0.109156	0.092892	-0.136907	0.153979	0.484985	-0.413585	0.161514	0.477307	-0.182805	0.172793	0.884469	-0.415395	0.184680	0.883549	-0.221975	1.660000	58.340150	
49	567.639534	0.104750	0.090348	-0.437357	0.109088	0.093228	-0.136826	0.153760	0.484687	-0.413778	0.161065	0.477712	-0.182575	0.173288	0.884138	-0.415013	0.184801	0.883938	-0.221570	1.660000	58.340150	
50	568.651500	0.104557	0.090061	-0.437444	0.109145	0.093748	-0.136855	0.153688	0.484421	-0.414473	0.160819	0.478305	-0.182330	0.173708	0.883850	-0.414781	0.184700	0.884525	-0.221307	1.660000	58.340150	
51	568.397434	0.104284	0.090082	-0.437648	0.109308	0.094220	-0.136994	0.153934	0.484413	-0.415277	0.160889	0.478824	-0.182170	0.173591	0.883859	-0.414943	0.184368	0.885037	-0.221457	1.660000	58.340150	
