KJ_test	// User ID
25-3-2025	// Evaluation date
Kathryn_AHAP_CMJ1	24-3-2025	15:04:55:021	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
25	570.228414	0.118480	0.091556	-0.433835	0.121861	0.089176	-0.156711	0.167710	0.488464	-0.406459	0.174066	0.480682	-0.188647	0.183647	0.879957	-0.399407	0.191491	0.883114	-0.209322	1.660000	58.340150	
26	567.407366	0.118646	0.091708	-0.433903	0.122077	0.089481	-0.156653	0.167455	0.488656	-0.406352	0.173981	0.480999	-0.188923	0.184010	0.880132	-0.399796	0.191043	0.883442	-0.209682	1.660000	58.340150	
27	568.929662	0.118417	0.091571	-0.433930	0.122227	0.089970	-0.156534	0.167298	0.488518	-0.406520	0.174028	0.481491	-0.188924	0.184125	0.879974	-0.399480	0.190487	0.883975	-0.209357	1.660000	58.340150	
28	568.072675	0.118002	0.091128	-0.433924	0.122285	0.090362	-0.156405	0.167219	0.488052	-0.406786	0.174097	0.481878	-0.188847	0.184032	0.879493	-0.398905	0.190127	0.884404	-0.208794	1.660000	58.340150	
29	570.106596	0.117847	0.090486	-0.433818	0.122320	0.090337	-0.156378	0.167131	0.487416	-0.406846	0.173952	0.481860	-0.189022	0.183934	0.878854	-0.398830	0.190399	0.884380	-0.208746	1.660000	58.340150	
30	568.166752	0.118079	0.089805	-0.433602	0.122347	0.089780	-0.156483	0.167073	0.486775	-0.406677	0.173592	0.481306	-0.189675	0.183913	0.878232	-0.399721	0.191333	0.883758	-0.209671	1.660000	58.340150	
31	570.664471	0.118434	0.089316	-0.433340	0.122303	0.088824	-0.156655	0.167231	0.486320	-0.406587	0.173301	0.480292	-0.190910	0.183898	0.877815	-0.401684	0.192476	0.882640	-0.211665	1.660000	58.340150	
32	568.956096	0.118683	0.089207	-0.433087	0.122153	0.087710	-0.156855	0.167696	0.486217	-0.406813	0.173280	0.479035	-0.192530	0.183877	0.877756	-0.404408	0.193412	0.881277	-0.214409	1.660000	58.340150	
33	571.980670	0.118804	0.089520	-0.432902	0.121953	0.086991	-0.157080	0.168195	0.486523	-0.407215	0.173404	0.478207	-0.193472	0.184070	0.878081	-0.406207	0.193980	0.880378	-0.216207	1.660000	58.340150	
34	570.353740	0.118823	0.090239	-0.432847	0.121781	0.087213	-0.157321	0.168402	0.487234	-0.407578	0.173492	0.478493	-0.192647	0.184700	0.878769	-0.405298	0.194089	0.880670	-0.215267	1.660000	58.340150	
35	571.560517	0.118811	0.091077	-0.432888	0.121735	0.088146	-0.157506	0.168297	0.488088	-0.407731	0.173516	0.479611	-0.190603	0.185452	0.879556	-0.402286	0.193816	0.881858	-0.212213	1.660000	58.340150	
36	571.861640	0.118867	0.091577	-0.432930	0.121925	0.089031	-0.157525	0.168061	0.488625	-0.407526	0.173550	0.480656	-0.188932	0.185663	0.880024	-0.399319	0.193352	0.882997	-0.209224	1.660000	58.340150	
37	570.737285	0.119000	0.091553	-0.432963	0.122310	0.089441	-0.157337	0.167868	0.488609	-0.407013	0.173668	0.481117	-0.188529	0.185146	0.879999	-0.397735	0.192826	0.883547	-0.207649	1.660000	58.340150	
38	571.157512	0.119059	0.091297	-0.433133	0.122593	0.089592	-0.157027	0.167881	0.488315	-0.406623	0.173942	0.481204	-0.189043	0.184569	0.879731	-0.397390	0.192264	0.883712	-0.207315	1.660000	58.340150	
39	571.515292	0.118924	0.091091	-0.433540	0.122527	0.089713	-0.156704	0.168200	0.488033	-0.406781	0.174405	0.481150	-0.190018	0.184553	0.879475	-0.398024	0.191727	0.883718	-0.207935	1.660000	58.340150	
40	571.843268	0.118722	0.090892	-0.433996	0.122285	0.089696	-0.156475	0.168594	0.487789	-0.407652	0.174850	0.480935	-0.191021	0.184995	0.879243	-0.399559	0.191526	0.883507	-0.209446	1.660000	58.340150	
41	571.906213	0.118653	0.090562	-0.434245	0.122167	0.089325	-0.156451	0.168736	0.487523	-0.409286	0.175007	0.480463	-0.191613	0.185558	0.878974	-0.401942	0.192026	0.882936	-0.211821	1.660000	58.340150	
42	572.655540	0.118736	0.090178	-0.434244	0.122230	0.088688	-0.156627	0.168595	0.487272	-0.411032	0.174887	0.479863	-0.191618	0.186014	0.878710	-0.404421	0.193015	0.882155	-0.214310	1.660000	58.340150	
