KJ_test	// User ID
25-3-2025	// Evaluation date
KaiJen_AHAP_CMJ1	24-3-2025	14:58:15:811	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
25	998.504754	0.129838	0.092668	-0.446753	0.125056	0.088976	-0.132201	0.130921	0.504727	-0.417815	0.122116	0.504497	-0.174009	0.123457	0.896993	-0.422930	0.148641	0.895498	-0.189549	1.810000	102.075672	
26	1000.928092	0.130034	0.093442	-0.447044	0.125376	0.088258	-0.132670	0.131990	0.505259	-0.414961	0.122154	0.503771	-0.174558	0.123037	0.897458	-0.422295	0.147650	0.894888	-0.188862	1.810000	102.075672	
27	1002.810439	0.129998	0.093824	-0.447208	0.125536	0.087313	-0.132285	0.133378	0.505442	-0.412915	0.122012	0.502694	-0.175455	0.122080	0.897521	-0.422941	0.146651	0.893874	-0.189517	1.810000	102.075672	
28	1002.452617	0.129951	0.093701	-0.447190	0.125562	0.086373	-0.131538	0.134439	0.505245	-0.412102	0.121737	0.501578	-0.176345	0.121107	0.897195	-0.424391	0.145884	0.892767	-0.191003	1.810000	102.075672	
29	1004.839503	0.130305	0.093185	-0.446959	0.125445	0.085749	-0.131245	0.134522	0.504787	-0.412413	0.121494	0.500897	-0.176553	0.121025	0.896702	-0.425622	0.145674	0.892045	-0.192225	1.810000	102.075672	
30	1007.532125	0.131054	0.092463	-0.446614	0.125246	0.085647	-0.131597	0.133482	0.504218	-0.413746	0.121357	0.500898	-0.175949	0.121941	0.896222	-0.426114	0.146028	0.891972	-0.192650	1.810000	102.075672	
31	1005.773541	0.131687	0.091790	-0.446375	0.125120	0.086159	-0.132030	0.131780	0.503744	-0.416075	0.121292	0.501549	-0.175081	0.122986	0.895891	-0.425954	0.146564	0.892557	-0.192423	1.810000	102.075672	
32	1006.494904	0.131794	0.091346	-0.446359	0.125156	0.087218	-0.132095	0.129882	0.503507	-0.419231	0.121263	0.502685	-0.174386	0.123427	0.895777	-0.425320	0.146951	0.893664	-0.191771	1.810000	102.075672	
33	1008.286891	0.131363	0.091068	-0.446547	0.125219	0.088238	-0.131945	0.128205	0.503402	-0.422211	0.121269	0.503746	-0.173822	0.123194	0.895733	-0.424577	0.147117	0.894721	-0.191060	1.810000	102.075672	
34	1010.328806	0.130476	0.090825	-0.446911	0.125135	0.088583	-0.131846	0.127139	0.503239	-0.423877	0.121324	0.504141	-0.173249	0.122388	0.895579	-0.424096	0.147052	0.895116	-0.190655	1.810000	102.075672	
