KJ_test	// User ID
25-3-2025	// Evaluation date
ianjump_AFAP_CMJ1	24-3-2025	14:47:43:968	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
25	879.685422	0.104869	0.107768	-0.477229	0.108032	0.108384	-0.149834	0.172448	0.552072	-0.442385	0.165320	0.552243	-0.193292	0.166905	0.977907	-0.433058	0.181678	0.978249	-0.207960	1.910000	89.660313	
26	881.094977	0.104899	0.107686	-0.477394	0.108102	0.108476	-0.149622	0.172668	0.551965	-0.442596	0.165518	0.552315	-0.193101	0.166485	0.977782	-0.432867	0.182398	0.978297	-0.207846	1.910000	89.660313	
27	879.713743	0.104765	0.107372	-0.477744	0.107975	0.108142	-0.149349	0.172925	0.551591	-0.442950	0.165064	0.551977	-0.193260	0.165971	0.977412	-0.433940	0.182860	0.977887	-0.208987	1.910000	89.660313	
28	880.154653	0.104645	0.107002	-0.478152	0.107727	0.107424	-0.149133	0.173149	0.551164	-0.443310	0.164214	0.551266	-0.193747	0.165705	0.977006	-0.435828	0.183083	0.977075	-0.210911	1.910000	89.660313	
29	876.566919	0.104837	0.106769	-0.478369	0.107502	0.106416	-0.149117	0.173300	0.550947	-0.443637	0.163484	0.550254	-0.194445	0.166094	0.976818	-0.437744	0.183271	0.975971	-0.212819	1.910000	89.660313	
30	879.043747	0.105342	0.106717	-0.478270	0.107376	0.105291	-0.149247	0.173399	0.550982	-0.443880	0.163160	0.549080	-0.195296	0.167120	0.976884	-0.439189	0.183532	0.974745	-0.214219	1.910000	89.660313	
31	877.962569	0.105802	0.106698	-0.477890	0.107344	0.104321	-0.149213	0.173545	0.551050	-0.443975	0.163252	0.547978	-0.196344	0.168245	0.976971	-0.440010	0.183849	0.973645	-0.214990	1.910000	89.660313	
32	877.636964	0.105961	0.106640	-0.477340	0.107405	0.103793	-0.148849	0.173808	0.551010	-0.443854	0.163754	0.547236	-0.197451	0.169025	0.976940	-0.440053	0.184144	0.972959	-0.215005	1.910000	89.660313	
33	877.225478	0.106003	0.106762	-0.476970	0.107596	0.104011	-0.148521	0.174153	0.551084	-0.443471	0.164650	0.547290	-0.197797	0.169451	0.977009	-0.439094	0.184142	0.973107	-0.214020	1.910000	89.660313	
34	876.926633	0.106187	0.107318	-0.477135	0.107949	0.105215	-0.148658	0.174525	0.551543	-0.442798	0.165891	0.548531	-0.196522	0.169603	0.977448	-0.436973	0.183565	0.974461	-0.211846	1.910000	89.660313	
35	875.356440	0.106531	0.108217	-0.477687	0.108410	0.106940	-0.149124	0.174923	0.552324	-0.441953	0.167064	0.550460	-0.194145	0.169490	0.978196	-0.434413	0.182618	0.976482	-0.209222	1.910000	89.660313	
