KJ_test	// User ID
25-3-2025	// Evaluation date
KaiJen_AFAP_CMJ1	24-3-2025	14:55:22:614	// Source file name and timestamp
238.095	// Sampling rate
3.000	// Data capture period



Sample #	GRF_Y	left_ank_X_pos	left_ank_Y_pos	left_ank_Z_pos	right_ank_X_pos	right_ank_Y_pos	right_ank_Z_pos	left_knee_X_pos	left_knee_Y_pos	left_knee_Z_pos	right_knee_X_pos	right_knee_Y_pos	right_knee_Z_pos	left_hip_X_pos	left_hip_Y_pos	left_hip_Z_pos	right_hip_X_pos	right_hip_Y_pos	right_hip_Z_pos	Height	Mass	
25	1001.130129	0.105476	0.095200	-0.492372	0.113919	0.094178	-0.149517	0.127300	0.502445	-0.465015	0.123595	0.507237	-0.198070	0.148499	0.864421	-0.459014	0.162728	0.866463	-0.230952	1.810000	102.075672	
26	1000.898505	0.105746	0.095908	-0.492156	0.114352	0.094699	-0.149121	0.127667	0.503051	-0.463384	0.123710	0.507788	-0.197461	0.149021	0.865032	-0.458373	0.162534	0.867055	-0.230265	1.810000	102.075672	
27	999.583118	0.105990	0.096185	-0.491977	0.114433	0.094991	-0.148899	0.127830	0.503304	-0.462750	0.123780	0.508063	-0.197431	0.148598	0.865332	-0.458809	0.162622	0.867282	-0.230728	1.810000	102.075672	
28	1001.212449	0.106323	0.096171	-0.491723	0.114448	0.095159	-0.148917	0.127855	0.503342	-0.462963	0.123873	0.508183	-0.197853	0.147943	0.865413	-0.459443	0.162778	0.867371	-0.231412	1.810000	102.075672	
29	997.877528	0.107032	0.096288	-0.491206	0.114979	0.095513	-0.149172	0.128032	0.503524	-0.463144	0.124149	0.508505	-0.198308	0.148411	0.865566	-0.458451	0.162628	0.867874	-0.230394	1.810000	102.075672	
30	1000.585734	0.107955	0.096630	-0.490515	0.115965	0.096005	-0.149528	0.128445	0.503915	-0.462836	0.124507	0.509023	-0.198500	0.149985	0.865849	-0.455678	0.162052	0.868752	-0.227511	1.810000	102.075672	
31	999.675112	0.108381	0.096899	-0.490067	0.116574	0.096145	-0.149748	0.128916	0.504173	-0.462125	0.124527	0.509238	-0.198324	0.150986	0.866031	-0.453004	0.161234	0.869253	-0.224738	1.810000	102.075672	
32	998.706385	0.107854	0.096860	-0.490147	0.116247	0.095616	-0.149713	0.129279	0.504018	-0.461204	0.123966	0.508778	-0.197795	0.150271	0.865935	-0.451877	0.160391	0.868866	-0.223598	1.810000	102.075672	
33	1000.548511	0.106922	0.096588	-0.490520	0.115491	0.094829	-0.149497	0.129459	0.503604	-0.460466	0.123247	0.508034	-0.197149	0.148899	0.865625	-0.451841	0.159794	0.868062	-0.223596	1.810000	102.075672	
34	999.218616	0.106312	0.096204	-0.490848	0.114999	0.094319	-0.149218	0.129407	0.503158	-0.460341	0.122902	0.507544	-0.196645	0.148308	0.865216	-0.452064	0.159701	0.867491	-0.223842	1.810000	102.075672	
