,Hip3,,,Knee3,,,Ankle3,
t,x,y,t,x,y,t,x,y
0,0.3505,1.3783,0,0.3751,0.8116,0,0.3942,0.1827
0.0333,0.3532,1.3783,0.0333,0.3751,0.8116,0.0333,0.3942,0.1827
0.0667,0.3519,1.3785,0.0667,0.3758,0.8116,0.0667,0.3942,0.1827
0.1,0.3519,1.3785,0.1,0.3758,0.8116,0.1,0.3942,0.1827
0.1333,0.3519,1.3785,0.1333,0.3744,0.8116,0.1333,0.3942,0.1827
0.1667,0.348,1.3804,0.1667,0.3744,0.8116,0.1667,0.3942,0.1827
0.2,0.3499,1.3804,0.2,0.3744,0.8116,0.2,0.3942,0.1827
0.2333,0.3499,1.3804,0.2333,0.3744,0.8116,0.2333,0.3942,0.1827
0.2667,0.3499,1.3785,0.2667,0.3744,0.8116,0.2667,0.3942,0.1827
0.3,0.3499,1.3785,0.3,0.3737,0.8129,0.3,0.3915,0.184
0.3333,0.3499,1.3785,0.3333,0.3737,0.8129,0.3333,0.3915,0.184
0.3667,0.3499,1.3785,0.3667,0.3737,0.8129,0.3667,0.3915,0.184
0.4,0.3528,1.3785,0.4,0.3737,0.8129,0.4,0.3915,0.184
0.4333,0.3528,1.3785,0.4333,0.3737,0.8123,0.4333,0.3915,0.184
0.4667,0.3528,1.3775,0.4667,0.3737,0.8123,0.4667,0.3929,0.184
0.5,0.3567,1.3775,0.5,0.3737,0.8123,0.5,0.3929,0.184
0.5333,0.3567,1.3775,0.5333,0.3737,0.8123,0.5333,0.3929,0.184
0.5667,0.3606,1.3785,0.5667,0.3737,0.8123,0.5667,0.3929,0.184
0.6,0.3644,1.3785,0.6,0.3737,0.8123,0.6,0.3929,0.184
0.6333,0.3654,1.3785,0.6333,0.3737,0.8123,0.6333,0.3929,0.184
0.6667,0.3673,1.3804,0.6667,0.3737,0.8123,0.6667,0.3929,0.184
0.7,0.3702,1.3824,0.7,0.3717,0.8123,0.7,0.3929,0.184
0.7333,0.3731,1.3824,0.7333,0.373,0.8129,0.7333,0.3929,0.184
0.7667,0.3751,1.3824,0.7667,0.373,0.8129,0.7667,0.3929,0.184
0.8,0.3799,1.3843,0.8,0.373,0.8129,0.8,0.3929,0.184
0.8333,0.3886,1.3853,0.8333,0.3724,0.8129,0.8333,0.3929,0.184
0.8667,0.3963,1.3872,0.8667,0.3724,0.8129,0.8667,0.3929,0.184
0.9,0.406,1.3882,0.9,0.3689,0.8123,0.9,0.3929,0.184
0.9333,0.4186,1.3911,0.9333,0.3621,0.8102,0.9333,0.3929,0.184
0.9667,0.435,1.3911,0.9667,0.3512,0.8109,0.9667,0.3929,0.184
1,0.4486,1.3911,1,0.345,0.8088,1,0.3929,0.184
1.0333,0.4655,1.3857,1.0333,0.3382,0.8054,1.0333,0.3929,0.184
1.0667,0.4819,1.3736,1.0667,0.3307,0.804,1.0667,0.3922,0.1813
1.1,0.4974,1.3641,1.1,0.3211,0.7972,1.1,0.3929,0.1806
1.1333,0.506,1.3499,1.1333,0.3067,0.7931,1.1333,0.3929,0.1806
1.1667,0.5159,1.3352,1.1667,0.2958,0.7863,1.1667,0.3901,0.1792
1.2,0.5262,1.3126,1.2,0.2814,0.7781,1.2,0.3881,0.1772
1.2333,0.5337,1.2908,1.2333,0.2684,0.7719,1.2333,0.3881,0.1772
