PathFileType  4,(X/Y/Z) /workspace/Data/f8309750-3477-4e6d-af18-fc73a77fa520/MarkerData/PostAugmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,278,63,m,60,1,278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,r.ASIS_study,,,L.ASIS_study,,,r.PSIS_study,,,L.PSIS_study,,,r_knee_study,,,r_mknee_study,,,r_ankle_study,,,r_mankle_study,,,r_toe_study,,,r_5meta_study,,,r_calc_study,,,L_knee_study,,,L_mknee_study,,,L_ankle_study,,,L_mankle_study,,,L_toe_study,,,L_calc_study,,,L_5meta_study,,,r_shoulder_study,,,L_shoulder_study,,,C7_study,,,r_thigh1_study,,,r_thigh2_study,,,r_thigh3_study,,,L_thigh1_study,,,L_thigh2_study,,,L_thigh3_study,,,r_sh1_study,,,r_sh2_study,,,r_sh3_study,,,L_sh1_study,,,L_sh2_study,,,L_sh3_study,,,RHJC_study,,,LHJC_study,,,r_lelbow_study,,,r_melbow_study,,,r_lwrist_study,,,r_mwrist_study,,,L_lelbow_study,,,L_melbow_study,,,L_lwrist_study,,,L_mwrist_study,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53,X54,Y54,Z54,X55,Y55,Z55,X56,Y56,Z56,X57,Y57,Z57,X58,Y58,Z58,X59,Y59,Z59,X60,Y60,Z60,X61,Y61,Z61,X62,Y62,Z62,X63,Y63,Z63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.32576,1.3969011,-0.11502,0.35119,1.4072711,0.05244,0.62309,1.3104111,0.04902,0.53883,1.3540611,-0.21144,0.32079,1.3831611,-0.28374,0.59512,1.2818711,-0.31957,0.63145,1.3157211,-0.13169,0.42025,0.8559311,-0.11446,0.43001,0.8613811,0.00672,0.37751,0.4598911,0.08921,0.37681,0.0699411,0.19154,0.42048,0.8516911,-0.23576,0.36503,0.4492811,-0.2857,0.33284,0.0614311,-0.36486,0.46074,0.0146311,-0.47298,0.4572,0.0166411,-0.46988,0.30062,0.0247611,-0.34664,0.53525,0.0327311,0.25656,0.52992,0.0341111,0.25471,0.33805,0.0324111,0.18797,0.4902148,0.9240584,0.0415687,0.4776238,0.9171198,-0.2830436,0.255636,0.9463221,-0.03548,0.2511962,0.9427788,-0.1630236,0.3827433,0.475545,0.1621132,0.4087652,0.4562776,0.0372503,0.3473097,0.0883588,0.2387228,0.3883925,0.0725407,0.1449251,0.5157366,0.0367685,0.245299,0.4598834,0.0474862,0.2955487,0.2871969,0.05198,0.1693013,0.3472203,0.4620081,-0.3433023,0.3913277,0.4537728,-0.2359091,0.2904299,0.0689629,-0.3995769,0.3453316,0.0635127,-0.3262998,0.4407412,0.0232995,-0.4365083,0.2522352,0.036675,-0.3252787,0.3769241,0.0298679,-0.4740964,0.3396571,1.4416389,0.0476287,0.3326322,1.4311597,-0.2977942,0.229448,1.4417559,-0.1155768,0.4648063,0.7217191,0.1233141,0.4254257,0.6286074,0.1610268,0.3442141,0.7230195,0.1353378,0.4326237,0.704886,-0.3374112,0.3890682,0.6109427,-0.3595236,0.3149975,0.7079556,-0.327299,0.3757593,0.3610172,0.1991195,0.3976963,0.2455641,0.2392545,0.3188578,0.2616105,0.2260875,0.3274412,0.3446534,-0.374584,0.3364926,0.2244854,-0.41591,0.272881,0.2441645,-0.3834611,0.3862271,0.8332238,-0.0130805,0.3785395,0.8294443,-0.2089178,0.6413727,1.3031676,0.0657287,0.6123597,1.2381747,0.0061626,0.509178,1.3566693,-0.194576,0.5793777,1.3382914,-0.2337562,0.5885618,1.2960942,-0.3543675,0.56919,1.2337416,-0.3165539,0.6083531,1.3218582,-0.1004619,0.6709803,1.295246,-0.1075224
2,0.0166667,0.32175,1.3974311,-0.11684,0.34492,1.4062311,0.049,0.62276,1.3082611,0.0518,0.53899,1.3549511,-0.20612,0.31863,1.3859211,-0.28369,0.58141,1.2837411,-0.32428,0.6361,1.3144411,-0.13604,0.41886,0.8577711,-0.11652,0.42867,0.8634011,0.00407,0.37796,0.4608511,0.08804,0.37588,0.0701111,0.19023,0.41896,0.8534511,-0.2372,0.36457,0.4477411,-0.2854,0.33261,0.0602811,-0.36525,0.46068,0.0150711,-0.47313,0.45707,0.0171111,-0.46995,0.30235,0.0258411,-0.34502,0.5337,0.0309111,0.25671,0.52841,0.0323611,0.25479,0.33743,0.0332811,0.18668,0.4914592,0.9249298,0.0419274,0.480619,0.918532,-0.2827086,0.2576365,0.9538925,-0.0407325,0.2546652,0.9506564,-0.1683621,0.3781865,0.4803351,0.1552018,0.407056,0.4574972,0.0364309,0.3459446,0.0836459,0.230432,0.3889466,0.0673528,0.1451143,0.5119895,0.0357743,0.2392126,0.4511783,0.0459286,0.2851087,0.2897662,0.045163,0.1675134,0.3501718,0.4580972,-0.3458505,0.4012731,0.445627,-0.2400462,0.3013307,0.0639836,-0.3976453,0.3601418,0.0566825,-0.3297935,0.4544041,0.021958,-0.443508,0.2640835,0.0274278,-0.3238973,0.38526,0.0305633,-0.4739615,0.3353566,1.4495532,0.0448538,0.3281233,1.4445742,-0.2911095,0.2221981,1.450768,-0.1145215,0.4609778,0.7264704,0.1198598,0.420242,0.6335745,0.1553935,0.3383342,0.729197,0.1256778,0.425886,0.7048556,-0.3416307,0.38511,0.6105857,-0.3628681,0.3101254,0.7113131,-0.3276682,0.3680293,0.3672557,0.1905011,0.3895922,0.2523739,0.229767,0.3151338,0.2584983,0.2143282,0.3329854,0.3409163,-0.3721232,0.342592,0.2226898,-0.4140434,0.2797719,0.2386505,-0.3793743,0.3830886,0.8356018,-0.0162371,0.3763713,0.8319601,-0.2124379,0.6503507,1.3272155,0.0623693,0.619214,1.2493098,0.0218179,0.4967623,1.3647552,-0.1833571,0.5756239,1.3575293,-0.2310153,0.6043424,1.3089599,-0.3619379,0.5804192,1.2298596,-0.3343277,0.6074698,1.334279,-0.1120694,0.6759701,1.3032777,-0.1126023
3,0.0333333,0.32687,1.3976811,-0.11615,0.35225,1.4068211,0.05075,0.62444,1.3112411,0.04765,0.53434,1.3562211,-0.2118,0.3219,1.3854111,-0.28427,0.58663,1.2803611,-0.31305,0.66411,1.3072011,-0.16936,0.41847,0.8580611,-0.11334,0.42804,0.8630711,0.00751,0.37843,0.4602711,0.08835,0.37724,0.0718111,0.1908,0.41882,0.8541711,-0.23434,0.36431,0.4473511,-0.2843,0.3332,0.0602811,-0.36514,0.46315,0.0170611,-0.47539,0.45976,0.0190311,-0.47234,0.30068,0.0239611,-0.34662,0.53252,0.0314811,0.25883,0.52734,0.0327811,0.25684,0.33916,0.0352311,0.18648,0.495267,0.9256794,0.0486428,0.484444,0.9201537,-0.2805675,0.2561969,0.9562804,-0.038721,0.2530261,0.9534445,-0.1678146,0.3751403,0.4797281,0.1574823,0.4049025,0.4561622,0.0366864,0.3484754,0.0823249,0.2323908,0.3925381,0.0660216,0.1483356,0.511345,0.0338912,0.2418347,0.4511607,0.0445289,0.2878868,0.294527,0.0436821,0.1694682,0.3491085,0.4597838,-0.345999,0.4045392,0.4452469,-0.2363052,0.3031298,0.0640534,-0.3949899,0.3658442,0.0546299,-0.3268679,0.458959,0.0214019,-0.4428679,0.2672687,0.0266899,-0.3196236,0.3864305,0.0301836,-0.4721087,0.3384415,1.4533809,0.0499372,0.3255251,1.446976,-0.2883525,0.2206864,1.4537588,-0.1112263,0.4598746,0.7255985,0.1239234,0.4183887,0.6328893,0.1594987,0.3347992,0.7291111,0.1309284,0.4256516,0.7091061,-0.3456168,0.3834943,0.6144078,-0.3658547,0.3041728,0.7136243,-0.3289212,0.3654535,0.3664361,0.1910393,0.3889041,0.2513205,0.2315614,0.3141885,0.2577299,0.2144951,0.3318608,0.3436272,-0.3700189,0.3428792,0.2255497,-0.4120356,0.2778592,0.2394006,-0.3761179,0.3807307,0.8353298,-0.0123923,0.3740524,0.8321737,-0.211229,0.6549741,1.3369781,0.0590079,0.620673,1.2526604,0.0275748,0.4896527,1.3648955,-0.1771855,0.5696009,1.3596196,-0.2217775,0.6075804,1.3083603,-0.3687114,0.5830474,1.2229381,-0.3409343,0.6289154,1.3332394,-0.1233695,0.697144,1.3002039,-0.1249156
4,0.05,0.32397,1.3977511,-0.11725,0.34696,1.4057711,0.05017,0.62659,1.3082511,0.04959,0.53818,1.3550911,-0.20973,0.3214,1.3868411,-0.28567,0.58959,1.2835011,-0.33336,0.62149,1.3168211,-0.12695,0.41819,0.8596811,-0.11518,0.42655,0.8646111,0.00543,0.3782,0.4618311,0.09043,0.37796,0.0718111,0.19116,0.41953,0.8562811,-0.23583,0.36526,0.4468511,-0.28442,0.33164,0.0592211,-0.36575,0.46293,0.0167511,-0.47489,0.45949,0.0187811,-0.47185,0.29812,0.0235411,-0.34713,0.53314,0.0316411,0.25864,0.52812,0.0330511,0.25674,0.33871,0.0348211,0.18683,0.497153,0.9273541,0.0505675,0.4859741,0.9221209,-0.2836459,0.2554723,0.957516,-0.0412825,0.2519688,0.9548011,-0.1722262,0.3719113,0.4804893,0.1564247,0.4027331,0.4554617,0.0338906,0.3498149,0.0833473,0.2333613,0.3948144,0.0659888,0.1497723,0.5123125,0.0347001,0.2433379,0.4519814,0.044874,0.2888626,0.2965341,0.0428712,0.1710473,0.3436982,0.4620194,-0.3489902,0.401174,0.4460257,-0.2373311,0.299974,0.0661858,-0.398313,0.36483,0.0553498,-0.3302622,0.4560813,0.0225159,-0.448688,0.2653511,0.02754,-0.3218433,0.3828684,0.0308461,-0.4767774,0.3393065,1.4546096,0.0494556,0.3199844,1.4494152,-0.2913689,0.2178757,1.4547563,-0.1135505,0.4583625,0.7264012,0.1243908,0.4161609,0.6340314,0.1595457,0.3321344,0.7313868,0.1306696,0.4242649,0.7117766,-0.3523091,0.3801131,0.6171508,-0.3714046,0.2994453,0.7166511,-0.3337404,0.3635444,0.3674356,0.1893272,0.3883011,0.2526771,0.2309837,0.3132358,0.2588014,0.2136551,0.3266021,0.3467841,-0.3728419,0.3389471,0.2291789,-0.4157277,0.2720817,0.2416696,-0.3779973,0.3796201,0.836779,-0.0134323,0.3727122,0.8337757,-0.2151829,0.6583403,1.3421983,0.0494141,0.6253963,1.2544753,0.029943,0.4875853,1.3603693,-0.1811228,0.5649091,1.3527359,-0.2248153,0.6119749,1.3141891,-0.3719991,0.5896062,1.2197924,-0.3510255,0.6114324,1.33594,-0.1176001,0.6818833,1.3018901,-0.109494
5,0.0666667,0.32334,1.3980111,-0.1179,0.34578,1.4066811,0.04939,0.62608,1.3086811,0.04987,0.53692,1.3549611,-0.21053,0.32135,1.3870211,-0.28617,0.58684,1.2830211,-0.3329,0.62338,1.3154411,-0.13345,0.4176,0.8603011,-0.11564,0.42601,0.8652011,0.00544,0.37927,0.4626911,0.0901,0.37682,0.0702611,0.19155,0.41897,0.8569011,-0.23673,0.36514,0.4466811,-0.2843,0.3324,0.0599911,-0.36504,0.46536,0.0177511,-0.47479,0.46198,0.0196811,-0.47183,0.29803,0.0240111,-0.34638,0.53376,0.0321211,0.25732,0.52879,0.0335011,0.25554,0.33613,0.0328111,0.18759,0.4977583,0.9278625,0.0536252,0.4871101,0.9233201,-0.2851026,0.2542819,0.9583936,-0.0427119,0.2509524,0.955818,-0.1753824,0.3693508,0.4800902,0.1567643,0.4003278,0.45443,0.0322888,0.3497387,0.083892,0.232892,0.3948986,0.0659916,0.1494123,0.5118364,0.0358292,0.2426261,0.4523343,0.0454082,0.2878191,0.2961482,0.0424988,0.1705908,0.3409266,0.4621121,-0.3498711,0.3982894,0.4458395,-0.2350655,0.2990136,0.0669951,-0.3993856,0.3642339,0.0556918,-0.3301491,0.4555883,0.0240625,-0.449479,0.2640266,0.0276955,-0.3224457,0.3822542,0.031286,-0.4781377,0.3392768,1.4550226,0.0511956,0.3174067,1.4516449,-0.2920913,0.2161316,1.4553443,-0.113933,0.4575463,0.7256603,0.1258946,0.4147158,0.6336071,0.1609014,0.3298685,0.7320294,0.1322082,0.4248741,0.7122965,-0.3562887,0.3793471,0.6175995,-0.3746894,0.2973417,0.717557,-0.3378723,0.361553,0.3673783,0.1884684,0.3871965,0.2527889,0.2303256,0.3117669,0.2592829,0.2129831,0.3240592,0.3477437,-0.3732717,0.3376507,0.230565,-0.4166569,0.2693136,0.2421129,-0.3786403,0.3781768,0.837134,-0.013233,0.3715736,0.8345044,-0.2176446,0.659722,1.3414881,0.0436669,0.6289675,1.2520143,0.0337698,0.4900573,1.3551368,-0.1829698,0.5640869,1.3436109,-0.2244754,0.6097879,1.3129815,-0.3745526,0.5874049,1.2161948,-0.3579847,0.6002389,1.3317945,-0.1178948,0.6694628,1.2954566,-0.1043243
6,0.0833333,0.32379,1.3982811,-0.11754,0.34753,1.4071711,0.05041,0.6243,1.3087311,0.04889,0.53824,1.3550611,-0.2103,0.32076,1.3870511,-0.28657,0.58515,1.2841811,-0.33593,0.61957,1.3164911,-0.12961,0.41727,0.8617711,-0.11496,0.42699,0.8664411,0.00604,0.37819,0.4611611,0.08891,0.37583,0.0697111,0.19119,0.41751,0.8582311,-0.23608,0.36577,0.4477911,-0.28411,0.33207,0.0608011,-0.36498,0.4615,0.0163911,-0.47465,0.45806,0.0184511,-0.47158,0.30173,0.0260211,-0.34503,0.53259,0.0315211,0.25747,0.52732,0.0328711,0.25554,0.33595,0.0329711,0.18823,0.4982388,0.9294813,0.0565474,0.4871401,0.9252172,-0.2856438,0.2538262,0.9600726,-0.0420453,0.2502547,0.9575849,-0.176056,0.3681924,0.4801983,0.1575787,0.3985041,0.4545998,0.0316071,0.3505879,0.0847133,0.2324172,0.3953024,0.0667805,0.1486657,0.512603,0.0370592,0.2415216,0.4535008,0.0460466,0.2866619,0.2964261,0.0428962,0.1702598,0.3390607,0.4630721,-0.3492949,0.3966797,0.446317,-0.2326908,0.2987482,0.0689812,-0.3987214,0.3643224,0.0572877,-0.328929,0.4549428,0.025468,-0.4494423,0.2637183,0.0298832,-0.3213096,0.3817502,0.0323837,-0.4780164,0.3397099,1.4550895,0.0535491,0.314287,1.4531063,-0.2919152,0.2148944,1.4560955,-0.1128651,0.4577475,0.7257124,0.1279382,0.4145362,0.6337413,0.1626856,0.329466,0.733039,0.1343982,0.4251787,0.7137931,-0.3579915,0.3787244,0.6189673,-0.3758267,0.2956902,0.7192246,-0.3392962,0.360905,0.3678744,0.1882521,0.3872813,0.2533976,0.2298117,0.3117269,0.2599063,0.2129233,0.3224608,0.3494728,-0.3723595,0.3369474,0.2328582,-0.4160403,0.2676821,0.2436155,-0.3777284,0.3776961,0.8384113,-0.0117901,0.3708248,0.8359378,-0.2182609,0.6595867,1.3393742,0.0420121,0.6297824,1.2482934,0.037572,0.4938957,1.3506675,-0.182877,0.5657867,1.3349207,-0.2233633,0.607537,1.3141155,-0.3745076,0.5851282,1.2153534,-0.3595942,0.5908136,1.3325821,-0.1164857,0.6594044,1.2942752,-0.0984753
7,0.1,0.32207,1.3982711,-0.11846,0.3436,1.4068411,0.04892,0.62479,1.3090911,0.04856,0.53708,1.3546311,-0.21106,0.32103,1.3875611,-0.28677,0.58577,1.2837411,-0.32521,0.63126,1.3145911,-0.14012,0.41696,0.8661411,-0.11533,0.42639,0.8706711,0.00633,0.37802,0.4620211,0.08898,0.37534,0.0705711,0.19082,0.4176,0.8627711,-0.2371,0.36501,0.4477111,-0.28319,0.33285,0.0600011,-0.36458,0.46466,0.0181811,-0.47502,0.46125,0.0202311,-0.47199,0.30197,0.0257111,-0.34459,0.53173,0.0300511,0.25734,0.52651,0.0313711,0.25543,0.3368,0.0344811,0.18699,0.4984017,0.9339859,0.0582558,0.4872994,0.9302089,-0.287175,0.2532037,0.9643452,-0.0422869,0.2496252,0.9620075,-0.1775673,0.3666841,0.4828941,0.1575729,0.3966721,0.4575746,0.0304497,0.3502198,0.0874402,0.231633,0.3947029,0.0697231,0.1477678,0.5121689,0.0396345,0.240704,0.4532589,0.0485573,0.2855237,0.2956645,0.0457811,0.1695208,0.3375172,0.4658698,-0.3497818,0.3953499,0.4491891,-0.2311144,0.2985959,0.0725216,-0.3989089,0.3644632,0.0607803,-0.328198,0.4550949,0.0285469,-0.4493478,0.2633849,0.0336788,-0.3210217,0.3817835,0.0353,-0.4783084,0.3393323,1.4582752,0.0548279,0.3123708,1.4575943,-0.2925325,0.213672,1.4597395,-0.1127695,0.4575345,0.7284774,0.1288466,0.4138626,0.6364742,0.1634309,0.3286684,0.7365805,0.1354661,0.4256608,0.7170825,-0.3606571,0.3782971,0.6220709,-0.3780294,0.2943323,0.7231177,-0.3419231,0.3595602,0.3708525,0.187632,0.3862677,0.2564078,0.2289589,0.3107775,0.2625656,0.2123846,0.3211577,0.3528616,-0.3725901,0.3363953,0.2365863,-0.416538,0.2663403,0.246675,-0.3778714,0.3771604,0.8424951,-0.0114194,0.3702796,0.8402749,-0.2198369,0.659075,1.3389343,0.0411158,0.6294446,1.2460815,0.0393359,0.4967538,1.349897,-0.1835737,0.5686919,1.3310927,-0.2219907,0.6065444,1.3147481,-0.3743233,0.5816876,1.2155579,-0.3586703,0.591175,1.3329496,-0.1183326,0.6590665,1.2922959,-0.0993661
8,0.1166667,0.32383,1.3979011,-0.1175,0.34832,1.4073011,0.05043,0.62384,1.3086311,0.04811,0.53862,1.3554411,-0.21093,0.32002,1.3860311,-0.28655,0.58771,1.2833611,-0.33467,0.61755,1.3178211,-0.12649,0.41766,0.8630311,-0.11538,0.42743,0.8671111,0.00601,0.37799,0.4616211,0.08863,0.37536,0.0705811,0.19078,0.41789,0.8601111,-0.23688,0.36557,0.4486211,-0.28373,0.33307,0.0616011,-0.36477,0.46421,0.0176911,-0.47481,0.46083,0.0197811,-0.4718,0.30169,0.0271111,-0.34452,0.53204,0.0304011,0.25683,0.52681,0.0317211,0.25494,0.33565,0.0345411,0.18766,0.4993558,0.9310022,0.059544,0.4880846,0.9277036,-0.2882285,0.2537966,0.9613943,-0.0417936,0.2501535,0.9592314,-0.1780033,0.366944,0.4787685,0.1578147,0.3962864,0.4539576,0.0299058,0.3506946,0.0837196,0.2310237,0.3947232,0.0663447,0.147038,0.5123527,0.0359183,0.2398232,0.4537129,0.0446434,0.2845499,0.2957688,0.0425821,0.1690428,0.3374592,0.4617573,-0.3496316,0.3955939,0.4450496,-0.2294611,0.299577,0.0695861,-0.3985715,0.3657067,0.0578025,-0.3272354,0.4561033,0.0251705,-0.449021,0.2643069,0.0313339,-0.3203059,0.3828029,0.0319003,-0.4781321,0.3403877,1.4540481,0.0558784,0.3116324,1.4543056,-0.2924548,0.2141639,1.4560086,-0.11201,0.4586843,0.7241022,0.129558,0.4147608,0.6321141,0.1641259,0.3295685,0.7327118,0.13658,0.4269832,0.7132295,-0.3622634,0.3789821,0.6181518,-0.3792309,0.2942148,0.7197868,-0.3434039,0.3596783,0.3670161,0.187349,0.3864802,0.2525214,0.2283358,0.3111901,0.2587011,0.2121677,0.3213008,0.3494149,-0.3721665,0.3370519,0.2335874,-0.4163376,0.2665175,0.2431308,-0.3774675,0.3778274,0.8391014,-0.0108282,0.3708504,0.8371487,-0.2206697,0.6601141,1.3348995,0.0410267,0.6308445,1.2408591,0.040876,0.4986636,1.3471181,-0.1845609,0.5723698,1.3263655,-0.2223337,0.6083674,1.3123116,-0.3747282,0.5835342,1.2117402,-0.3580869,0.5860227,1.3329525,-0.1171302,0.6547517,1.2914816,-0.0951178
