,Hip2,,,Knee2,,,Ankle2,
t,x,y,t,x,y,t,x,y
2.4333,1.1176,1.0394,2.4333,0.7067,0.7752,2.4333,0.875,0.2436
2.4667,1.1285,1.0224,2.4667,0.7092,0.7739,2.4667,0.875,0.2436
2.5,1.1297,1.0078,2.5,0.7152,0.7715,2.5,0.8744,0.243
2.5333,1.1358,0.9957,2.5333,0.7189,0.7703,2.5333,0.8778,0.2416
2.5667,1.1382,0.9836,2.5667,0.7273,0.7715,2.5667,0.8778,0.2416
2.6,1.1394,0.9812,2.6,0.7273,0.7703,2.6,0.8778,0.2416
2.6333,1.1406,0.9812,2.6333,0.7298,0.7703,2.6333,0.8778,0.2416
2.6667,1.1442,0.9775,2.6667,0.7334,0.7703,2.6667,0.8778,0.2416
2.7,1.1467,0.9848,2.7,0.7334,0.7752,2.7,0.8778,0.2416
2.7333,1.1467,0.9885,2.7333,0.7346,0.7752,2.7333,0.8778,0.2416
2.7667,1.1467,0.9957,2.7667,0.7334,0.7764,2.7667,0.8778,0.2416
2.8,1.1455,0.9969,2.8,0.7334,0.7764,2.8,0.8778,0.2416
2.8333,1.1479,1.0054,2.8333,0.737,0.7752,2.8333,0.8784,0.2416
2.8667,1.1442,1.0163,2.8667,0.7334,0.7776,2.8667,0.8784,0.2416
2.9,1.1418,1.026,2.9,0.737,0.7776,2.9,0.8784,0.2416
2.9333,1.1358,1.0454,2.9333,0.7431,0.7812,2.9333,0.8798,0.2409
2.9667,1.1309,1.0709,2.9667,0.7443,0.7861,2.9667,0.8798,0.2409
3,1.1321,1.0951,3,0.7516,0.7885,3,0.8798,0.2409
3.0333,1.1321,1.1181,3.0333,0.7552,0.7921,3.0333,0.8818,0.2409
3.0667,1.1273,1.1472,3.0667,0.7576,0.7982,3.0667,0.8825,0.2409
3.1,1.1236,1.1763,3.1,0.7625,0.8067,3.1,0.8832,0.2409
3.1333,1.1212,1.209,3.1333,0.7673,0.8127,3.1333,0.8846,0.2423
3.1667,1.1176,1.243,3.1667,0.7685,0.82,3.1667,0.8866,0.2436
3.2,1.1115,1.2684,3.2,0.7746,0.8248,3.2,0.8866,0.2436
3.2333,1.1018,1.2914,3.2333,0.7831,0.8333,3.2333,0.8866,0.2436
3.2667,1.0909,1.312,3.2667,0.7916,0.8382,3.2667,0.8866,0.2436
3.3,1.0824,1.3351,3.3,0.7964,0.8454,3.3,0.8866,0.2436
3.3333,1.0715,1.3545,3.3333,0.8061,0.8515,3.3333,0.888,0.2457
3.3667,1.0594,1.3702,3.3667,0.8134,0.8576,3.3667,0.888,0.2457
3.4,1.0424,1.3872,3.4,0.817,0.8576,3.4,0.888,0.2457
3.4333,1.0327,1.4041,3.4333,0.8231,0.8648,3.4333,0.888,0.2457
3.4667,1.0182,1.4126,3.4667,0.8316,0.8673,3.4667,0.888,0.2457
3.5,1.0085,1.4235,3.5,0.8352,0.8685,3.5,0.888,0.2457
3.5333,0.9952,1.432,3.5333,0.84,0.8733,3.5333,0.888,0.2457
3.5667,0.9818,1.4417,3.5667,0.8449,0.8721,3.5667,0.888,0.2484
3.6,0.9685,1.4466,3.6,0.8473,0.8721,3.6,0.888,0.2484
3.6333,0.96,1.4526,3.6333,0.851,0.8745,3.6333,0.888,0.2484
3.6667,0.9503,1.4514,3.6667,0.8558,0.8745,3.6667,0.888,0.2484
3.7,0.9382,1.4526,3.7,0.8558,0.877,3.7,0.888,0.2484
3.7333,0.9322,1.4514,3.7333,0.8607,0.877,3.7333,0.8893,0.2491
3.7667,0.9188,1.4526,3.7667,0.8655,0.8782,3.7667,0.8893,0.2491
3.8,0.914,1.4538,3.8,0.8679,0.8782,3.8,0.8893,0.2491
3.8333,0.9043,1.4514,3.8333,0.8752,0.8757,3.8333,0.8893,0.2491
3.8667,0.9006,1.4526,3.8667,0.8849,0.877,3.8667,0.8893,0.2491
3.9,0.8958,1.4514,3.9,0.8897,0.8782,3.9,0.8893,0.2491
3.9333,0.8922,1.4514,3.9333,0.8946,0.8794,3.9333,0.89,0.2491
3.9667,0.8909,1.4478,3.9667,0.8982,0.8794,3.9667,0.89,0.2491
4,0.8885,1.4502,4,0.897,0.8782,4,0.89,0.2491
4.0333,0.8861,1.4502,4.0333,0.897,0.8757,4.0333,0.89,0.2491
4.0667,0.8837,1.4478,4.0667,0.8958,0.877,4.0667,0.89,0.2491
4.1,0.8849,1.4478,4.1,0.8958,0.877,4.1,0.89,0.2491
4.1333,0.8849,1.4478,4.1333,0.8958,0.877,4.1333,0.89,0.2491
4.1667,0.8849,1.4478,4.1667,0.8958,0.877,4.1667,0.89,0.2484
4.2,0.8849,1.4478,4.2,0.8958,0.877,4.2,0.89,0.2484
4.2333,0.8825,1.4478,4.2333,0.8958,0.877,4.2333,0.8907,0.2484
4.2667,0.2317,1.5217,4.2667,0.3032,1.1242,4.2667,-0.0879,0.2511
