,Hip,,,Knee,,,Ankle,
t,x,y,t,x,y,t,x,y
2.4333,0.9311,1.0627,2.4333,0.5201,0.7959,2.4333,0.6622,0.2506
2.4667,0.9322,1.0747,2.4667,0.5232,0.7965,2.4667,0.6637,0.2506
2.5,0.93,1.0899,2.5,0.5244,0.8002,2.5,0.6637,0.2506
2.5333,0.9278,1.1072,2.5333,0.5262,0.8008,2.5333,0.6637,0.2513
2.5667,0.9246,1.1311,2.5667,0.5274,0.8045,2.5667,0.6637,0.2513
2.6,0.9224,1.1571,2.6,0.5292,0.8093,2.6,0.6637,0.2521
2.6333,0.9191,1.1788,2.6333,0.5341,0.813,2.6333,0.666,0.2521
2.6667,0.918,1.2038,2.6667,0.5347,0.8203,2.6667,0.666,0.2536
2.7,0.9148,1.2255,2.7,0.5353,0.8239,2.7,0.666,0.2544
2.7333,0.9083,1.257,2.7333,0.5341,0.8276,2.7333,0.666,0.2544
2.7667,0.8974,1.2787,2.7667,0.5353,0.8319,2.7667,0.666,0.2544
2.8,0.8887,1.3036,2.8,0.539,0.8392,2.8,0.666,0.2544
2.8333,0.8735,1.3286,2.8333,0.5439,0.844,2.8333,0.666,0.2544
2.8667,0.8573,1.3514,2.8667,0.5518,0.8483,2.8667,0.666,0.2544
2.9,0.8453,1.3742,2.9,0.5585,0.8532,2.9,0.666,0.2544
2.9333,0.8323,1.3905,2.9333,0.5682,0.8593,2.9333,0.666,0.2544
2.9667,0.8193,1.41,2.9667,0.5767,0.866,2.9667,0.666,0.2544
3,0.8041,1.4306,3,0.5859,0.8702,3,0.6683,0.2552
3.0333,0.7911,1.4469,3.0333,0.5962,0.8751,3.0333,0.6683,0.2552
3.0667,0.7791,1.4577,3.0667,0.6102,0.8806,3.0667,0.6683,0.2552
3.1,0.7694,1.4675,3.1,0.6194,0.8824,3.1,0.6683,0.2552
3.1333,0.7596,1.4784,3.1333,0.6279,0.8873,3.1333,0.6706,0.2582
3.1667,0.7433,1.4816,3.1667,0.6358,0.8861,3.1667,0.6706,0.259
3.2,0.7357,1.486,3.2,0.6425,0.8885,3.2,0.6706,0.259
3.2333,0.7249,1.4827,3.2333,0.6474,0.8897,3.2333,0.6706,0.259
3.2667,0.7119,1.4838,3.2667,0.6504,0.8891,3.2667,0.6714,0.2567
3.3,0.7032,1.4816,3.3,0.6565,0.8915,3.3,0.6714,0.2567
3.3333,0.6945,1.4794,3.3333,0.6602,0.8897,3.3333,0.6714,0.2567
3.3667,0.6869,1.4794,3.3667,0.6669,0.8897,3.3667,0.6714,0.2567
3.4,0.6771,1.4751,3.4,0.676,0.8903,3.4,0.6714,0.2567
3.4333,0.6674,1.4762,3.4333,0.6845,0.8909,3.4333,0.6729,0.2575
3.4667,0.663,1.4708,3.4667,0.6791,0.8897,3.4667,0.676,0.2582
3.5,0.6598,1.4729,3.5,0.6754,0.8903,3.5,0.676,0.2582
3.5333,0.6565,1.4762,3.5333,0.6687,0.8903,3.5333,0.6721,0.259
3.5667,0.6565,1.4762,3.5667,0.6681,0.8915,3.5667,0.6721,0.259
3.6,0.6522,1.4762,3.6,0.6681,0.8922,3.6,0.6706,0.2598
3.6333,0.6511,1.4719,3.6333,0.6669,0.8909,3.6333,0.6706,0.2598
3.6667,0.65,1.4719,3.6667,0.6669,0.8909,3.6667,0.6706,0.2598
3.7,0.6467,1.4719,3.7,0.6669,0.8909,3.7,0.6706,0.2598
3.7333,0.6446,1.4719,3.7333,0.665,0.8909,3.7333,0.6706,0.2598
3.7667,0.6413,1.4729,3.7667,0.6644,0.8909,3.7667,0.6706,0.2598
3.8,0.6413,1.4719,3.8,0.6632,0.8909,3.8,0.6706,0.2598
3.8333,0.6413,1.4719,3.8333,0.6632,0.8909,3.8333,0.6706,0.2598
3.8667,0.6424,1.4708,3.8667,0.6614,0.8903,3.8667,0.6706,0.2598
3.9,0.6424,1.4708,3.9,0.6614,0.8903,3.9,0.6706,0.2598
3.9333,0.6424,1.4708,3.9333,0.6614,0.8903,3.9333,0.6706,0.2598
3.9667,0.6424,1.4708,3.9667,0.6614,0.8903,3.9667,0.6706,0.2598
4,0.6424,1.4708,4,0.6614,0.8903,4,0.6706,0.2598
4.0333,0.6435,1.4708,4.0333,0.6614,0.8903,4.0333,0.6706,0.2598
4.0667,0.6446,1.4697,4.0667,0.6614,0.8903,4.0667,0.6698,0.2598
4.1,0.6446,1.4697,4.1,0.6614,0.8903,4.1,0.6698,0.2598
4.1333,0.6446,1.4697,4.1333,0.6614,0.8903,4.1333,0.6698,0.2598
4.1667,0.6446,1.4697,4.1667,0.6614,0.8897,4.1667,0.6698,0.2598
4.2,0.6446,1.4697,4.2,0.6614,0.8897,4.2,0.6698,0.2598
4.2333,0.6467,1.4686,4.2333,0.6614,0.8897,4.2333,0.6698,0.2598
4.2667,0.6467,1.4686,4.2667,0.6632,0.8897,4.2667,0.6698,0.2598
4.3,0.6467,1.4686,4.3,0.6632,0.8897,4.3,0.6698,0.2598
4.3333,0.6478,1.4664,4.3333,0.6632,0.8897,4.3333,0.6698,0.2598
4.3667,0.6489,1.4664,4.3667,0.6638,0.8885,4.3667,0.6698,0.2598
4.4,0.6511,1.4653,4.4,0.6638,0.8885,4.4,0.6698,0.2598
4.4333,0.6511,1.4653,4.4333,0.665,0.8879,4.4333,0.6698,0.2598
4.4667,0.65,1.4653,4.4667,0.665,0.8903,4.4667,0.6698,0.2598
4.5,0.65,1.4653,4.5,0.665,0.8903,4.5,0.6698,0.2598
4.5333,0.65,1.4653,4.5333,0.665,0.8897,4.5333,0.6698,0.2598
4.5667,0.65,1.4653,4.5667,0.6644,0.8897,4.5667,0.6698,0.2598
4.6,0.6478,1.4653,4.6,0.6626,0.8909,4.6,0.6698,0.2598
4.6333,0.6457,1.4643,4.6333,0.662,0.8915,4.6333,0.6698,0.2598
4.6667,0.6457,1.4632,4.6667,0.6626,0.8891,4.6667,0.6698,0.2598
4.7,0.6457,1.4632,4.7,0.6632,0.8885,4.7,0.6698,0.2598
4.7333,0.6457,1.4632,4.7333,0.6632,0.8891,4.7333,0.6698,0.2598
4.7667,0.6467,1.4621,4.7667,0.662,0.8915,4.7667,0.6698,0.2598
4.8,0.6478,1.4621,4.8,0.662,0.8915,4.8,0.6698,0.2605
