PathFileType  4,(X/Y/Z) /workspace/Data/f8309750-3477-4e6d-af18-fc73a77fa520/MarkerData/PostAugmentation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DataRate,CameraRate,NumFrames,NumMarkers,Units,OrigDataRate,OrigDataStartFrame,OrigNumFrames,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,60,337,63,m,60,1,337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frame#,Time,Neck,,,RShoulder,,,RElbow,,,RWrist,,,LShoulder,,,LElbow,,,LWrist,,,midHip,,,RHip,,,RKnee,,,RAnkle,,,LHip,,,LKnee,,,LAnkle,,,LBigToe,,,LSmallToe,,,LHeel,,,RBigToe,,,RSmallToe,,,RHeel,,,r.ASIS_study,,,L.ASIS_study,,,r.PSIS_study,,,L.PSIS_study,,,r_knee_study,,,r_mknee_study,,,r_ankle_study,,,r_mankle_study,,,r_toe_study,,,r_5meta_study,,,r_calc_study,,,L_knee_study,,,L_mknee_study,,,L_ankle_study,,,L_mankle_study,,,L_toe_study,,,L_calc_study,,,L_5meta_study,,,r_shoulder_study,,,L_shoulder_study,,,C7_study,,,r_thigh1_study,,,r_thigh2_study,,,r_thigh3_study,,,L_thigh1_study,,,L_thigh2_study,,,L_thigh3_study,,,r_sh1_study,,,r_sh2_study,,,r_sh3_study,,,L_sh1_study,,,L_sh2_study,,,L_sh3_study,,,RHJC_study,,,LHJC_study,,,r_lelbow_study,,,r_melbow_study,,,r_lwrist_study,,,r_mwrist_study,,,L_lelbow_study,,,L_melbow_study,,,L_lwrist_study,,,L_mwrist_study,,
,,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,X5,Y5,Z5,X6,Y6,Z6,X7,Y7,Z7,X8,Y8,Z8,X9,Y9,Z9,X10,Y10,Z10,X11,Y11,Z11,X12,Y12,Z12,X13,Y13,Z13,X14,Y14,Z14,X15,Y15,Z15,X16,Y16,Z16,X17,Y17,Z17,X18,Y18,Z18,X19,Y19,Z19,X20,Y20,Z20,X21,Y21,Z21,X22,Y22,Z22,X23,Y23,Z23,X24,Y24,Z24,X25,Y25,Z25,X26,Y26,Z26,X27,Y27,Z27,X28,Y28,Z28,X29,Y29,Z29,X30,Y30,Z30,X31,Y31,Z31,X32,Y32,Z32,X33,Y33,Z33,X34,Y34,Z34,X35,Y35,Z35,X36,Y36,Z36,X37,Y37,Z37,X38,Y38,Z38,X39,Y39,Z39,X40,Y40,Z40,X41,Y41,Z41,X42,Y42,Z42,X43,Y43,Z43,X44,Y44,Z44,X45,Y45,Z45,X46,Y46,Z46,X47,Y47,Z47,X48,Y48,Z48,X49,Y49,Z49,X50,Y50,Z50,X51,Y51,Z51,X52,Y52,Z52,X53,Y53,Z53,X54,Y54,Z54,X55,Y55,Z55,X56,Y56,Z56,X57,Y57,Z57,X58,Y58,Z58,X59,Y59,Z59,X60,Y60,Z60,X61,Y61,Z61,X62,Y62,Z62,X63,Y63,Z63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,0.3036,1.3902687,-0.11425,0.33159,1.3981987,0.05231,0.60483,1.3014087,0.04268,0.51333,1.3397387,-0.20701,0.29651,1.3807487,-0.2822,0.54199,1.2706287,-0.31016,0.62306,1.2926187,-0.15697,0.41494,0.8609287,-0.11937,0.42462,0.8660487,0.00058,0.39041,0.4680487,0.08747,0.37654,0.0712087,0.19124,0.41486,0.8570587,-0.23938,0.36835,0.4490587,-0.28723,0.33455,0.0622887,-0.36479,0.46378,0.0178387,-0.4727,0.46049,0.0198587,-0.46974,0.30068,0.0271987,-0.34719,0.53435,0.0316087,0.25692,0.52903,0.0329087,0.2551,0.33603,0.0348887,0.1889,0.4835608,0.930278,0.0355733,0.4690239,0.9229572,-0.2872176,0.2493869,0.9456067,-0.0394335,0.2442821,0.9418283,-0.1662595,0.3919425,0.4807784,0.1596501,0.4160769,0.4604125,0.0350487,0.3481997,0.0916298,0.2404592,0.3873386,0.0750466,0.1462521,0.5152518,0.0374343,0.2449048,0.4606425,0.0497972,0.295789,0.2862638,0.0560105,0.1723262,0.3495406,0.4638586,-0.3456583,0.3938361,0.4563647,-0.2388298,0.2922716,0.0686087,-0.3980169,0.3473051,0.0637521,-0.3246434,0.4442827,0.0257987,-0.4370306,0.253562,0.0348886,-0.3223969,0.3794657,0.0323504,-0.4739764,0.3208982,1.4360275,0.0460794,0.3120717,1.4270219,-0.2977628,0.2103257,1.4355703,-0.1156473,0.4666667,0.7285507,0.1168811,0.4304578,0.6349189,0.1562197,0.3464112,0.7279903,0.1313932,0.4296227,0.7096944,-0.3404692,0.3881756,0.6143946,-0.3622022,0.312598,0.7103374,-0.3304907,0.3834373,0.3652063,0.1982817,0.4029632,0.2492445,0.2389289,0.3242224,0.2660937,0.2268634,0.3302625,0.3454077,-0.3761069,0.3392818,0.2245682,-0.4159727,0.2749577,0.2442663,-0.3839915,0.3825054,0.8375724,-0.0183694,0.3736187,0.8335417,-0.2131286,0.6181888,1.293402,0.0594797,0.5858942,1.2288482,0.0020442,0.4855276,1.3408447,-0.1916607,0.5524089,1.3251715,-0.2323863,0.5381644,1.277217,-0.3532456,0.5204931,1.2234009,-0.3056085,0.6118628,1.3034163,-0.128335,0.6682204,1.2745544,-0.1416562
2,0.0166667,0.30346,1.3908587,-0.11421,0.33237,1.3995987,0.05246,0.60494,1.3021387,0.04257,0.51228,1.3393687,-0.20769,0.29556,1.3805487,-0.28235,0.54497,1.2719587,-0.31592,0.62178,1.2946787,-0.14934,0.4138,0.8638887,-0.11887,0.42501,0.8689287,0.00216,0.38992,0.4681787,0.08617,0.37767,0.0709087,0.19166,0.41246,0.8600087,-0.24002,0.36815,0.4509587,-0.28723,0.33489,0.0620487,-0.36493,0.46187,0.0160887,-0.47262,0.45856,0.0181587,-0.46962,0.30075,0.0268887,-0.34664,0.53609,0.0327987,0.25701,0.53076,0.0340487,0.25519,0.33732,0.0344687,0.18953,0.4854004,0.9324842,0.0383422,0.4706084,0.9256776,-0.284875,0.2519749,0.9530671,-0.0408388,0.2475117,0.9495579,-0.1678847,0.3880241,0.4853378,0.1541734,0.4139851,0.4614633,0.0357164,0.3489969,0.0865062,0.2328222,0.3894706,0.0692419,0.1465409,0.5141835,0.0374558,0.2389162,0.4546504,0.0496448,0.2858093,0.2902474,0.0480863,0.1708036,0.3531215,0.4615367,-0.3461011,0.4043067,0.4495737,-0.241133,0.3023788,0.0651376,-0.3960333,0.3611123,0.0583921,-0.3280517,0.455752,0.0243861,-0.4435068,0.2647315,0.0283264,-0.3214073,0.3862602,0.0335913,-0.4733791,0.318162,1.4432087,0.0478276,0.3062536,1.4397853,-0.2876562,0.2035015,1.4437527,-0.1097255,0.4645242,0.7339362,0.1146076,0.4267872,0.6401568,0.151907,0.3420953,0.7347642,0.1243761,0.4235941,0.711341,-0.3417293,0.3849083,0.6157554,-0.3628708,0.3078426,0.7149297,-0.32828,0.3768347,0.3711706,0.1909939,0.3967051,0.2553682,0.2302907,0.321761,0.2627761,0.2165379,0.3359554,0.3430765,-0.3720838,0.3450301,0.2242188,-0.4131171,0.2817427,0.2404123,-0.3790774,0.3805123,0.8409183,-0.018632,0.3713964,0.8370035,-0.2139867,0.631741,1.3192622,0.0550178,0.5951303,1.2408046,0.0144962,0.4729158,1.3496587,-0.1823011,0.546715,1.3430761,-0.2323408,0.5587142,1.2894987,-0.3552379,0.5331086,1.2205407,-0.3164372,0.6042349,1.3161059,-0.1263133,0.6669351,1.282545,-0.1329368
3,0.0333333,0.2987,1.3916987,-0.11052,0.3305,1.3988887,0.05231,0.60402,1.3003987,0.04382,0.51532,1.3391287,-0.20866,0.28715,1.3828987,-0.275,0.54943,1.2737087,-0.31754,0.61223,1.2987887,-0.13672,0.41433,0.8635487,-0.11911,0.42516,0.8686687,0.00194,0.39019,0.4693487,0.08565,0.37804,0.0710687,0.19024,0.41338,0.8596087,-0.2403,0.36652,0.4503987,-0.28736,0.33339,0.0634187,-0.36389,0.46188,0.0167187,-0.47282,0.45846,0.0187187,-0.46973,0.30244,0.0293587,-0.34706,0.53599,0.0327187,0.25742,0.53072,0.0340887,0.25551,0.34,0.0346387,0.1862,0.4900648,0.9319915,0.0414168,0.4744795,0.9273904,-0.2861297,0.2516359,0.9541778,-0.0413702,0.2466295,0.9515913,-0.1697949,0.3853011,0.4839228,0.1534583,0.4123238,0.4592945,0.0328956,0.3520794,0.0840953,0.2317729,0.3938199,0.0667131,0.1466505,0.5141772,0.0345226,0.2384486,0.4552487,0.0475335,0.2855914,0.2955327,0.0456043,0.1697313,0.3522647,0.4626273,-0.3488364,0.4074358,0.4488725,-0.240262,0.3035602,0.0647946,-0.3955794,0.3657868,0.0560106,-0.3275,0.4586484,0.0223458,-0.4438891,0.2674448,0.0280561,-0.3197374,0.3863849,0.0315506,-0.4727487,0.3189728,1.4452418,0.0523025,0.2992985,1.441822,-0.2853066,0.1989701,1.4446431,-0.106045,0.4641277,0.7318229,0.1152508,0.4254973,0.6384112,0.1527559,0.3394847,0.7337676,0.1264342,0.4237191,0.7145263,-0.3484671,0.3836705,0.6186767,-0.3684889,0.3029003,0.716804,-0.3324086,0.3747347,0.3694779,0.1884966,0.3965893,0.2532605,0.2290662,0.3211417,0.261054,0.2137336,0.3348029,0.3451722,-0.3724015,0.344843,0.2262723,-0.4133265,0.2799758,0.2408795,-0.3781551,0.3795301,0.8395662,-0.0181968,0.369966,0.8369393,-0.2160309,0.6373565,1.3270422,0.0506876,0.5975795,1.2420438,0.0206579,0.4681269,1.3490725,-0.1794536,0.5444305,1.3440332,-0.2258446,0.5695222,1.2952524,-0.3586615,0.542986,1.2154539,-0.3259735,0.5966059,1.3195674,-0.1167984,0.6625664,1.2882407,-0.1178083
4,0.05,0.29976,1.3925087,-0.11064,0.33243,1.4003187,0.05265,0.60474,1.3009187,0.04217,0.5145,1.3403387,-0.21011,0.28751,1.3831087,-0.27565,0.54519,1.2740887,-0.31657,0.60918,1.2988287,-0.13952,0.41448,0.8640387,-0.11984,0.42483,0.8695787,0.00144,0.39023,0.4698087,0.08557,0.37858,0.0723787,0.18953,0.41403,0.8597287,-0.2412,0.36657,0.4504687,-0.28764,0.33355,0.0624887,-0.3638,0.46075,0.0160087,-0.47292,0.45738,0.0180387,-0.46981,0.30279,0.0281987,-0.34578,0.53629,0.0326287,0.25622,0.53105,0.0340487,0.25433,0.33929,0.0348487,0.18655,0.492978,0.9321498,0.044051,0.4755807,0.9283717,-0.288166,0.2518914,0.9544253,-0.0418142,0.2459843,0.9521687,-0.1719725,0.3826033,0.4837356,0.1532287,0.4104504,0.4577511,0.0309107,0.3533253,0.0845303,0.2332914,0.3959297,0.0660427,0.1485662,0.5150148,0.0345811,0.2403955,0.4560109,0.0473305,0.2871119,0.2973413,0.0446028,0.1718667,0.3465427,0.4645688,-0.3502299,0.403978,0.44952,-0.2399799,0.3004789,0.0666349,-0.3966087,0.3649457,0.0566711,-0.3288538,0.4549394,0.0227288,-0.4474265,0.2661286,0.0293068,-0.3197118,0.3822657,0.0312764,-0.474949,0.3205921,1.4452556,0.0540325,0.2913564,1.4436581,-0.2850771,0.1956462,1.4442963,-0.1045274,0.4634468,0.7311941,0.1164568,0.4240532,0.6382893,0.1535744,0.3378235,0.7349189,0.1272824,0.4218189,0.7164095,-0.3537702,0.3798681,0.6208084,-0.3725115,0.2980096,0.7190383,-0.3355239,0.3732051,0.3695791,0.1874436,0.3963024,0.2536516,0.2290205,0.3203706,0.2614846,0.2136327,0.3293562,0.3480181,-0.3733356,0.3407259,0.2295963,-0.4149402,0.2742225,0.2428261,-0.377954,0.3793565,0.8397759,-0.0180672,0.3686891,0.8376382,-0.2186174,0.6387835,1.331125,0.0426572,0.6013393,1.2435785,0.0234138,0.4668104,1.3451251,-0.1814364,0.5415352,1.3389845,-0.2246884,0.5695491,1.2987858,-0.3599634,0.5438391,1.2127784,-0.3341833,0.58933,1.3185057,-0.1135282,0.6549816,1.2878107,-0.110422
5,0.0666667,0.3,1.3925487,-0.11034,0.33321,1.3999887,0.05295,0.60397,1.3008787,0.04297,0.51246,1.3396287,-0.20841,0.28727,1.3835887,-0.27539,0.54363,1.2723187,-0.31153,0.61518,1.2965587,-0.14613,0.41491,0.8629287,-0.11984,0.42495,0.8679287,0.00127,0.39008,0.4698187,0.08554,0.37866,0.0729587,0.18936,0.41471,0.8591887,-0.241,0.36691,0.4514687,-0.28745,0.33329,0.0627087,-0.36416,0.46097,0.0164387,-0.47271,0.45759,0.0184687,-0.46962,0.3025,0.0284687,-0.34647,0.53605,0.0322387,0.25685,0.53083,0.0336287,0.25494,0.3396,0.0355987,0.18609,0.4949933,0.9305271,0.0474051,0.4773845,0.9281518,-0.289246,0.2519197,0.9537198,-0.0421211,0.2458853,0.9518986,-0.1739833,0.3808715,0.482053,0.1538995,0.4090173,0.4554996,0.0297365,0.3539751,0.0842557,0.2328817,0.3968601,0.0652288,0.1483916,0.5147363,0.0344825,0.2404015,0.456585,0.0468973,0.2865709,0.2980069,0.0438655,0.1713618,0.3438178,0.4638458,-0.3506177,0.4013548,0.4485499,-0.2374858,0.2996737,0.0667967,-0.3975475,0.3646354,0.0564064,-0.3288886,0.4537344,0.0229929,-0.4480993,0.265479,0.0293596,-0.3202763,0.3811093,0.0304028,-0.4760011,0.3217095,1.4443354,0.0570283,0.2872903,1.445399,-0.2839118,0.1939037,1.4433827,-0.1025221,0.4634106,0.7287141,0.1184898,0.4234033,0.6362943,0.1553454,0.3366383,0.7338236,0.1291489,0.4225047,0.7155103,-0.3572825,0.3791629,0.6200726,-0.3752745,0.2963623,0.7187202,-0.3388906,0.3720096,0.3683334,0.186729,0.3959263,0.2526681,0.2284632,0.3197257,0.2609407,0.2130548,0.326848,0.348226,-0.3733258,0.3393794,0.230263,-0.4155806,0.2716756,0.2425841,-0.3781496,0.3791482,0.8382104,-0.017342,0.3683407,0.8368876,-0.2205035,0.6384687,1.330093,0.0378678,0.6032685,1.2414563,0.0271891,0.4693029,1.3392556,-0.1821782,0.5405666,1.3302219,-0.2214636,0.5661423,1.2973372,-0.3597674,0.5405174,1.208605,-0.3382256,0.5881272,1.3140559,-0.1142975,0.6524027,1.28145,-0.1085505
6,0.0833333,0.30291,1.3904787,-0.1143,0.33153,1.3987687,0.05173,0.60358,1.3005187,0.04378,0.51019,1.3400187,-0.20408,0.2951,1.3805287,-0.28177,0.54937,1.2743387,-0.32175,0.61201,1.2981187,-0.1386,0.41514,0.8653187,-0.11957,0.42488,0.8704687,0.00186,0.38862,0.4694187,0.08735,0.37733,0.0715987,0.18997,0.41524,0.8613587,-0.24106,0.36631,0.4511087,-0.28693,0.33285,0.0616687,-0.3652,0.46237,0.0176487,-0.47259,0.45912,0.0197187,-0.46963,0.29998,0.0260487,-0.34727,0.5352,0.0326687,0.25614,0.52988,0.0339587,0.25429,0.33635,0.0341987,0.18889,0.4959047,0.9328512,0.0501938,0.4786551,0.9309745,-0.2901319,0.2519191,0.956342,-0.0422359,0.2459678,0.9546862,-0.1755062,0.3797235,0.4835228,0.1543946,0.4075591,0.4568524,0.0288558,0.3544339,0.0863419,0.2321019,0.397102,0.067214,0.1475233,0.5154431,0.036824,0.2393853,0.4575309,0.0486724,0.2852961,0.2979599,0.0454677,0.1706396,0.3420907,0.4660296,-0.3506395,0.3992951,0.4502899,-0.235278,0.2993953,0.0698819,-0.397848,0.3643534,0.0590537,-0.3282707,0.4534222,0.025718,-0.4480222,0.2647517,0.0323178,-0.3204254,0.3810962,0.0326882,-0.4762726,0.3225532,1.4456688,0.058602,0.2850272,1.4482814,-0.2842558,0.1931393,1.4452727,-0.1022442,0.463603,0.7300667,0.1202836,0.4231634,0.6377768,0.15684,0.3361094,0.7359731,0.1308306,0.4237305,0.7178876,-0.3593702,0.3792475,0.6224514,-0.3769754,0.295606,0.7215193,-0.3413001,0.3712443,0.3701302,0.1861604,0.3957196,0.2546663,0.2276516,0.3194237,0.262792,0.2125689,0.3253693,0.3511278,-0.3731502,0.338913,0.2336186,-0.41571,0.270039,0.2452809,-0.3782321,0.3788624,0.8403999,-0.0163422,0.3682742,0.8393603,-0.2216904,0.6380216,1.329534,0.0362446,0.6041545,1.2402571,0.0314274,0.4717094,1.3374448,-0.1810186,0.5405946,1.3246521,-0.2183966,0.5670171,1.2997624,-0.3622014,0.541439,1.2081244,-0.3434886,0.5855055,1.3145717,-0.1146269,0.6495583,1.279151,-0.1056232
7,0.1,0.30333,1.3896287,-0.11453,0.33162,1.3974987,0.05178,0.60396,1.3005087,0.04362,0.50936,1.3396987,-0.20477,0.29587,1.3802287,-0.28221,0.54554,1.2724687,-0.3187,0.6248,1.2954387,-0.15372,0.41444,0.8611587,-0.11991,0.42496,0.8664487,0.00101,0.38929,0.4683987,0.08728,0.37633,0.0709287,0.19051,0.41371,0.8571087,-0.24094,0.36619,0.4501987,-0.28752,0.33257,0.0618387,-0.36502,0.46231,0.0172487,-0.47315,0.45907,0.0193187,-0.47017,0.29994,0.0261987,-0.34679,0.53504,0.0315987,0.25579,0.52968,0.0328687,0.25398,0.33503,0.0335887,0.18908,0.4957232,0.9286424,0.0520242,0.47893,0.9274517,-0.2917871,0.2508455,0.952763,-0.0425105,0.2450472,0.9513789,-0.1771563,0.3782307,0.4790863,0.155208,0.4056335,0.4525666,0.0283895,0.3532976,0.0828969,0.2319358,0.3956197,0.0638894,0.1471593,0.5143952,0.0338898,0.239,0.456668,0.0454402,0.2847929,0.2962507,0.0419644,0.1705359,0.3400419,0.4614379,-0.3514487,0.3971699,0.4456394,-0.2338888,0.2982711,0.0665221,-0.3985382,0.3633208,0.0555008,-0.3279702,0.4526523,0.0223993,-0.4482247,0.2631364,0.0290734,-0.3207822,0.3803287,0.0290012,-0.4769167,0.3227705,1.4412361,0.0599169,0.2834967,1.4454494,-0.2851313,0.1923815,1.4414289,-0.1022022,0.4631292,0.72512,0.1215571,0.4223492,0.6330504,0.1581619,0.3349375,0.7315288,0.1323575,0.4239612,0.7131884,-0.3618894,0.378513,0.6178233,-0.3792417,0.2940347,0.7174737,-0.3442206,0.3697226,0.366143,0.1861946,0.3943573,0.2509099,0.2273655,0.3181119,0.2589703,0.2128288,0.3234827,0.3472614,-0.3736709,0.3377296,0.2301466,-0.4164231,0.267967,0.2413648,-0.3789099,0.3776688,0.8359592,-0.0158562,0.367363,0.8353068,-0.2233047,0.6375084,1.3243874,0.0353801,0.6049437,1.2342364,0.033653,0.4739165,1.3322256,-0.180752,0.542621,1.3167762,-0.2159136,0.5649094,1.2950508,-0.3665714,0.5382615,1.2022013,-0.3472067,0.5906828,1.3099855,-0.121435,0.6545347,1.2711444,-0.1130323
8,0.1166667,0.3064,1.3902587,-0.11243,0.33778,1.3980987,0.05484,0.60466,1.3012487,0.04448,0.50792,1.3402787,-0.20611,0.29621,1.3808687,-0.28128,0.54674,1.2710687,-0.32035,0.6216,1.2981487,-0.15147,0.41536,0.8614287,-0.11929,0.42553,0.8661287,0.00147,0.38887,0.4685887,0.0871,0.37579,0.0716087,0.1905,0.41495,0.8578187,-0.24012,0.36508,0.4503687,-0.28829,0.33248,0.0614887,-0.36424,0.4629,0.0173287,-0.47332,0.45967,0.0193787,-0.47035,0.29935,0.0260187,-0.34577,0.53519,0.0318487,0.25531,0.52986,0.0330987,0.25355,0.33441,0.0346287,0.18905,0.4970602,0.928861,0.0540056,0.4806055,0.9280162,-0.2921112,0.25163,0.9537477,-0.0417605,0.2459758,0.9524886,-0.1773228,0.378564,0.4791504,0.156364,0.4054645,0.4530257,0.0286467,0.3534658,0.0835108,0.2320639,0.3954204,0.0647901,0.1471506,0.5148615,0.0347626,0.238907,0.4571732,0.0460679,0.2845481,0.295898,0.0428412,0.1708071,0.3396842,0.4613586,-0.350989,0.3967144,0.4454899,-0.2318816,0.2989551,0.0675312,-0.3979165,0.3640079,0.0564113,-0.3267172,0.4538107,0.0232659,-0.4474335,0.2633872,0.0303131,-0.3199955,0.3815248,0.0298276,-0.476313,0.325187,1.4410421,0.0613307,0.2841003,1.4464863,-0.2849817,0.1938751,1.4420604,-0.1013759,0.4642503,0.7247683,0.1231547,0.4232263,0.6328004,0.1597647,0.3356731,0.731472,0.1342295,0.4254224,0.7130015,-0.3628658,0.3792451,0.6177082,-0.3799633,0.2942593,0.7178355,-0.3452449,0.3698349,0.3665094,0.1867231,0.394454,0.2513232,0.2274937,0.3183697,0.2593645,0.2134367,0.3233746,0.3477928,-0.3729223,0.3382374,0.2310966,-0.41584,0.2678293,0.241826,-0.378267,0.3782182,0.8361287,-0.0146421,0.3681211,0.8356634,-0.223495,0.6392848,1.3242672,0.0360665,0.6075802,1.2335865,0.0362916,0.475542,1.3325321,-0.1796089,0.5452605,1.3151952,-0.2140648,0.5656357,1.294675,-0.3698603,0.5385283,1.2001715,-0.3479725,0.5931235,1.3136986,-0.1250844,0.6579357,1.2717834,-0.115425
