Testing	// User ID
7-2-2025	// Evaluation date
KJ_Walk_BP1	6-2-2025	12:08:48:828	// Source file name and timestamp
100.000	// Sampling rate
4.000	// Data capture period



Sample #	Right_Foot_COM_X	Right_Foot_COM_Y	RightAnklePosX	RightAnklePosY	RightKnee.Pos.X	RightKneePosY	RightHip_PosX	RightHipPosY	ThoraxCOMPosY	ThoraxCOMPosX	GRF_MoundY	
0	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.639396	
1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.008243	
2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.597400	
3	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.947735	
4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.465356	
5	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.779603	
6	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.130982	
7	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.882376	
8	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.387999	
9	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.025895	
10	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.747028	
11	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.015697	
12	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.799464	
13	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.207417	
14	-2.157514	0.037529	-2.200899	0.118877	-2.041147	0.452091	-1.965341	0.868725	NaN	NaN	1.048546	
15	-2.159064	0.024090	-2.195516	0.116595	-2.034872	0.451519	-1.936479	0.864119	NaN	NaN	-0.368796	
16	-2.167763	-0.007194	-2.192337	0.107459	-2.044709	0.448884	-1.948793	0.861954	NaN	NaN	-0.113193	
17	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.544516	
18	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.270653	
19	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.032261	
20	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.827692	
21	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.523755	
22	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.678652	
23	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.865491	
24	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.208056	
25	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.517507	
26	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.703980	
27	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.403476	
28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.033627	
29	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.117029	
30	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.104829	
31	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.266739	
32	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.294657	
33	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.939847	
34	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.642106	
35	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.950186	
36	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.239104	
37	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.237183	
38	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.146430	
39	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.543722	
40	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.414778	
41	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.349988	
42	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.400615	
43	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.019298	
44	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.353261	
45	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.683650	
46	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.059677	
47	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.593666	
48	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.346660	
49	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.926731	
50	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.094055	
51	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.850306	
52	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.042500	
53	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.214720	
54	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.687026	
55	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.669340	
56	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.316876	
57	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.969264	
58	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.161057	
59	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.589014	
60	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.674238	
61	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.209119	
62	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.557683	
63	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.209797	
64	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.188310	
65	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.572067	
66	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1.110917	
67	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.137433	
68	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.786095	
69	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.002819	
70	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.025164	
71	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.199961	
72	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.085197	
73	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.842464	
74	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.150151	
75	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-1.361608	
76	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	0.209730	
77	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	-0.129837	
